filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.26135117,-0.66377926,0.044985685,-0.29338157,0.044985685,-0.26135117,0.84626514,-0.2870654722772076,1.5009977
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.3156069,-0.35672182,-0.118252546,-0.26352707,-0.118252546,-0.3156069,0.84061205,-0.26287496582980807,1.5155202
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.3376407,0.13070646,-0.56636083,-0.25776502,0.13070646,-0.3376407,0.88404524,-0.2532246538412134,1.5575176
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-0.3545187,0.12699947,-0.68202764,-0.30318227,0.12699947,-0.3545187,0.85122657,-0.29573240277748425,1.4974926
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.2409041,0.03927505,-1.0530864,-0.4182385,0.03927505,-0.2409041,0.77695185,-0.39365395728624875,1.364661
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.19325256,0.41983852,-1.122131,-0.298515,0.41983852,-0.19325256,0.98266816,-0.26704583021872297,1.6288658
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.2751249,0.4739512,-1.4514697,-0.4175478,0.4739512,-0.2751249,0.9555236,-0.35330525754832354,1.5389901
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.22576272,0.30566904,-1.278798,-0.39963055,0.30566904,-0.22576272,0.8894588,-0.35380438156283955,1.4858091
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.38204837,0.4757116,-0.9238085,-0.27671507,0.4757116,-0.38204837,0.9890299,-0.2593775870405065,1.6356093
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-0.23353475,0.5355027,-0.9576638,-0.21856529,0.5355027,-0.23353475,1.0591177,-0.20068143187254905,1.7430784
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-0.17923868,0.6183071,-0.7136364,-0.09152266,0.6183071,-0.17923868,1.1573684,-0.08813794485901139,1.9185774
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-0.23025984,0.75070226,-0.67369294,-0.051083505,0.75070226,-0.23025984,1.2304113,-0.05375933887133,2.0079916
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,0.32904208,0.3177171,-0.027082572,0.20655887,0.32904208,0.3177171,1.3182576,0.20541755661771532,2.3218343
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-0.2522627,0.38422337,-1.1102629,-0.32610074,0.38422337,-0.2522627,0.9458442,-0.2954917468795122,1.575226
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-0.19210225,0.5934285,-1.0707525,-0.22314209,0.5934285,-0.19210225,1.0913047,-0.19860617700522654,1.7727891
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,0.017390013,0.57370293,-0.84033287,-0.08307997,0.57370293,0.017390013,1.1706029,-0.0727932618986904,1.9479628
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,0.1355406,0.8539264,-1.0692761,-0.026603023,0.8539264,0.1355406,1.3447596,-0.012314400638862022,2.1575246
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-0.32407522,0.79832065,-0.9344405,-0.15339835,0.79832065,-0.32407522,1.2053144,-0.14515723476642195,1.9069589
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-0.29081798,0.7132162,-0.62645674,-0.06801951,0.7132162,-0.29081798,1.2007709,-0.07038975336196596,1.9676646
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,-0.28611135,0.47791597,-0.6009377,-0.1363777,0.47791597,-0.28611135,1.068904,-0.13307462988643748,1.8056556
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0020.jpg,-0.26996577,0.75851226,-0.6070947,-0.039516073,0.75851226,-0.26996577,1.2364694,-0.044449458485190885,2.0203648
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0021.jpg,-0.33236742,0.68974125,-0.36926016,-0.0039621093,0.68974125,-0.33236742,1.2242663,-0.010275040897410936,2.0403097
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0022.jpg,0.10760963,0.9356775,-0.43237445,0.20363756,0.9356775,0.10760963,1.4612904,0.1854115080079516,2.4308934
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0023.jpg,0.38432896,1.3192182,-0.49031112,0.404412,1.3192182,0.38432896,1.7615683,0.3554128837258951,2.8830993
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0024.jpg,-0.30709827,0.019747883,0.09648366,-0.06362224,0.09648366,0.019747883,1.049707,-0.06287104004327371,1.851073
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0025.jpg,0.05667138,0.90074444,-1.0800697,-0.040884614,0.90074444,0.05667138,1.3504896,-0.028322634646175238,2.1452348
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0026.jpg,0.19179666,0.555516,-1.4070845,-0.21992393,0.555516,0.19179666,1.1628759,-0.16046157305565234,1.8795837
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0027.jpg,0.19339931,1.1894672,-1.5036706,-0.040268023,1.1894672,0.19339931,1.5520228,-0.0043676725355131785,2.3602543
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0028.jpg,-0.0827924,0.7361431,-1.1830746,-0.17657463,0.7361431,-0.0827924,1.1983807,-0.1469767003430521,1.9091074
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0029.jpg,0.07895017,1.2252098,-0.88659084,0.13918972,1.2252098,0.07895017,1.5890492,0.11281320246044513,2.4808035
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0030.jpg,0.7104465,1.514617,-1.0847476,0.38010526,1.514617,0.7104465,1.9344976,0.3266783437021088,3.069318
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0031.jpg,0.06522739,1.5014186,-0.93532604,0.21043998,1.5014186,0.06522739,1.78304,0.15488550192391048,2.6945486
