filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.530064,-0.5854409,0.43302885,-0.22749202,0.43302885,-0.530064,0.98855495,-0.22119056714415464,1.6651793
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.7470372,-0.34117672,-0.062086724,-0.38343355,-0.062086724,-0.34117672,0.7535378,-0.3757263790597274,1.3587296
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-1.0549147,-0.19146737,-1.4635762,-0.9033194,-0.19146737,-1.0549147,0.34030488,-0.8497080713408419,0.70858926
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-1.1070328,-0.20756412,-1.6436793,-0.9860921,-0.20756412,-1.1070328,0.28995478,-0.9137749791240783,0.6300914
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.5220179,0.20892987,-0.011463109,-0.10818371,0.20892987,-0.011463109,1.0347074,-0.10468479327071867,1.8038844
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.0332644,0.3612686,0.06719419,0.1317328,0.3612686,0.06719419,1.244712,0.13061791521383836,2.1876473
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,0.19927728,0.6110511,0.22239825,0.34424222,0.6110511,0.22239825,1.4613916,0.34087227718684165,2.5798435
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.2434758,0.5207181,0.02986594,0.10236942,0.5207181,0.02986594,1.2520344,0.09902958585556931,2.1654305
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,0.1722951,1.084772,-0.03503947,0.40734255,1.084772,0.1722951,1.6316613,0.37997935635091107,2.774183
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,0.17528725,1.192239,0.14083537,0.50278723,1.192239,0.17528725,1.7294004,0.4697897551716981,2.95734
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,0.12730718,1.1892619,0.18887568,0.5018149,1.1892619,0.18887568,1.7278097,0.46904336937651847,2.9551425
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,0.91338384,1.5034254,0.05998842,0.8255992,1.5034254,0.91338384,2.085875,0.7641614260804945,3.6529078
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,0.48416626,2.0294728,0.53685975,1.016833,2.0294728,0.53685975,2.3927476,0.9013324442015431,4.097892
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,0.3242936,1.3927083,0.40718383,0.70806193,1.3927083,0.40718383,1.9331682,0.6659794516396558,3.3663442
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,0.5299444,1.2994152,0.31829324,0.71588427,1.2994152,0.5299444,1.908174,0.6843323721406476,3.3642724
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,0.6168957,1.5594628,0.13440846,0.7702556,1.5594628,0.6168957,2.0481174,0.7071903478100796,3.5325143
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,0.52273,1.3854079,0.08716336,0.6651004,1.3854079,0.52273,1.9131149,0.6181912450553007,3.2984173
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,1.068458,1.7816083,0.2984236,1.0494965,1.7816083,1.068458,2.3221936,0.968157061986743,4.138611
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,0.3977393,1.1912351,0.33116078,0.64004505,1.1912351,0.3977393,1.8200526,0.6148630790963268,3.200662
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,0.6506454,1.4170315,0.2253409,0.76433927,1.4170315,0.6506454,1.9871049,0.7204623770420726,3.4865875
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0020.jpg,0.65308964,1.1360059,0.005096484,0.598064,1.1360059,0.65308964,1.7985501,0.5694749610260255,3.1398773
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0021.jpg,0.37214553,1.1733742,0.33451357,0.62667775,1.1733742,0.37214553,1.805167,0.6023608248962635,3.172602
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0022.jpg,0.6357876,1.4726297,0.64051646,0.91631126,1.4726297,0.64051646,2.0976076,0.8826730044088793,3.7811263
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0023.jpg,0.5229845,1.5728059,0.0652429,0.7203445,1.5728059,0.5229845,2.024804,0.6519267742657342,3.4446564
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0024.jpg,-0.3851984,0.89376473,0.7757244,0.42809692,0.89376473,0.7757244,1.667102,0.4044904341400444,2.8541121
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0025.jpg,-0.23827851,0.78999925,0.6373174,0.39634606,0.78999925,0.6373174,1.5857143,0.38147816777605115,2.7447567
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0026.jpg,-0.3399843,0.71631813,1.1303498,0.50222784,1.1303498,0.71631813,1.767365,0.4662851191169213,3.0139134
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0027.jpg,-0.37129748,0.6621591,0.14474583,0.14520247,0.6621591,0.14474583,1.3309293,0.1390182264825054,2.2727733
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0028.jpg,-0.6397997,0.13825163,0.14167248,-0.11995852,0.14167248,0.13825163,1.0395209,-0.11324255910381886,1.8020256
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0029.jpg,-0.35815924,-0.08919829,0.1747343,-0.09087441,0.1747343,-0.08919829,1.0312452,-0.08980272246432452,1.8126996
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0030.jpg,-0.20520467,0.2551088,1.0398165,0.3632402,1.0398165,0.2551088,1.5961056,0.3380171768404855,2.702236
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0031.jpg,0.04738593,0.48781112,0.17999542,0.23839748,0.48781112,0.17999542,1.3544129,0.2361752991119962,2.3825154
