filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.5575185,-1.2069222,-0.28594613,-0.6834623,-0.28594613,-0.5575185,0.48430574,-0.6583003402918559,0.9469985
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.51516426,-0.6541561,-0.73244727,-0.6339225,-0.51516426,-0.6541561,0.46876174,-0.6327008155590521,0.95359
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.7981304,-0.5459577,-2.7209947,-1.3550276,-0.5459577,-0.7981304,0.0909971,-1.1183109409412733,0.36530435
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-0.9083487,-0.5123068,-3.173526,-1.5313939,-0.5123068,-0.9083487,0.04321003,-1.1855542256052882,0.2910081
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.7833512,-0.4565598,-4.3954043,-1.8784385,-0.4565598,-0.7833512,0.09773031,-1.1644408465518978,0.3429463
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-1.2385545,-0.32119444,-3.7127404,-1.7574965,-0.32119444,-1.2385545,0.03873557,-1.2484586297370925,0.24654275
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.5939529,-0.55860007,-3.4368074,-1.5297867,-0.55860007,-0.5939529,0.14523989,-1.0972535274067385,0.41770095
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.45778608,-0.43797964,-2.5533073,-1.149691,-0.43797964,-0.45778608,0.3044253,-0.9248071760458132,0.6394173
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.17863584,-0.27557516,-2.0624063,-0.83887243,-0.17863584,-0.27557516,0.5438891,-0.6934425666377738,0.9712502
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-0.55392176,-0.4524119,-1.7715834,-0.9259723,-0.4524119,-0.55392176,0.32269716,-0.8487459277914817,0.7003621
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-0.50309414,-0.44962642,-1.6736897,-0.8754701,-0.44962642,-0.50309414,0.35772833,-0.809179266321529,0.75195605
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-0.35031617,0.29403356,-1.6221164,-0.55946636,0.29403356,-0.35031617,0.8081596,-0.4737285983467842,1.3296769
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-0.47459126,-0.12281576,-0.12983471,-0.2424139,-0.12281576,-0.12983471,0.869118,-0.2405511988349458,1.5563346
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-0.9844511,0.07147011,-2.7115598,-1.2081803,0.07147011,-0.9844511,0.41486305,-0.9244369274803685,0.7121297
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-0.93307996,-0.0077196658,-3.0752156,-1.3386717,-0.0077196658,-0.93307996,0.35895336,-0.9702172714815671,0.6440407
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-0.7677224,0.1011841,-2.8538773,-1.1734719,0.1011841,-0.7677224,0.48745653,-0.852497282601357,0.8161324
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-0.30998272,0.7273196,-1.929277,-0.50398,0.7273196,-0.30998272,1.081208,-0.37200980020276153,1.6280196
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-0.9627558,0.078950435,-1.7504658,-0.8780904,0.078950435,-0.9627558,0.49328232,-0.7783257026687824,0.8658165
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-0.6945342,0.21481094,-1.5249407,-0.6682213,0.21481094,-0.6945342,0.67119217,-0.5967577608803644,1.1277438
