filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.06406474,-0.21938187,-0.073817044,-0.11908788,-0.06406474,-0.073817044,0.9820039,-0.11891730410380041,1.7473978
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.27033603,0.1522604,-0.66409564,-0.26072374,0.1522604,-0.27033603,0.89295053,-0.2538388601371455,1.5645596
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.5775118,0.25269005,-2.9509628,-1.0919281,0.25269005,-0.5775118,0.6424151,-0.7353964694839681,1.0145717
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-0.64140564,0.15657833,-3.4731612,-1.3193295,0.15657833,-0.64140564,0.5464281,-0.8250484027163532,0.8815284
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.60249007,0.11062017,-2.4235198,-0.9717966,0.11062017,-0.60249007,0.56134367,-0.7494892161065173,0.9424159
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.48847207,0.59282374,-1.9884428,-0.62803036,0.59282374,-0.48847207,0.9398358,-0.4829207277307007,1.4238794
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.08391833,0.8129767,-1.9880098,-0.41965047,0.8129767,-0.08391833,1.1972755,-0.27880037325640605,1.8087666
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.43511075,0.38015983,-1.8817505,-0.6455671,0.38015983,-0.43511075,0.81626475,-0.519359326097218,1.3013091
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.17514539,0.505005,-1.5442979,-0.40481278,0.505005,-0.17514539,0.99687135,-0.32842540306805423,1.595402
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-0.446623,0.48793462,-1.4256526,-0.461447,0.48793462,-0.446623,0.91991806,-0.4005220384522701,1.4694961
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-0.5255176,0.5486045,-1.3390332,-0.4386488,0.5486045,-0.5255176,0.94940984,-0.38738100383383633,1.5005994
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-0.29324663,0.34802565,-1.1329122,-0.3593777,0.34802565,-0.29324663,0.909951,-0.32691829549290796,1.5210742
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-0.3524422,0.82032824,-0.2582144,0.06989054,0.82032824,-0.2582144,1.3208605,0.05721430085533408,2.1831148
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-0.69099414,0.15782306,-1.8057693,-0.7796468,0.15782306,-0.69099414,0.6077988,-0.6717187448246928,1.0276
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-0.35230434,0.57971036,-1.6130623,-0.46188542,0.57971036,-0.35230434,0.98874676,-0.3777785092487075,1.5452789
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-0.7967348,-0.015915394,-1.6278063,-0.81348544,-0.015915394,-0.7967348,0.48941952,-0.7371596236703026,0.8936152
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-0.6311004,0.44118807,-1.1017411,-0.43055114,0.44118807,-0.6311004,0.8832927,-0.3982246383328162,1.4384232
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-0.56326634,0.3398296,-1.1556362,-0.45969096,0.3398296,-0.56326634,0.8280765,-0.4243872201048309,1.3767576
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-0.3255297,0.6501255,-1.0163698,-0.23059134,0.6501255,-0.3255297,1.0985564,-0.211312781715976,1.7645036
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,-0.22346938,0.7699455,-1.3215736,-0.25836584,0.7699455,-0.22346938,1.1712749,-0.21626602113246007,1.8250705
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0020.jpg,-0.5564059,0.21353343,-1.0699849,-0.47095248,0.21353343,-0.5564059,0.76747715,-0.4431571236935647,1.3160876
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0021.jpg,0.08660984,0.6635407,-0.9989853,-0.08294491,0.6635407,0.08660984,1.223887,-0.06557649155755385,2.0033693
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0022.jpg,-0.091058314,0.81714773,-1.0122792,-0.09539658,0.81714773,-0.091058314,1.2642361,-0.08349397032620465,2.0166318
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0023.jpg,-0.36541724,0.45935342,-1.0755484,-0.32720408,0.45935342,-0.36541724,0.96243656,-0.29974558433952503,1.5826745
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0024.jpg,-0.102600455,0.81339395,-0.21641235,0.16479371,0.81339395,-0.102600455,1.3771126,0.15137054007266093,2.3206236
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0025.jpg,-0.5503695,0.31337664,-2.1928725,-0.8099551,0.31337664,-0.5503695,0.72094184,-0.6280179064097151,1.1475432
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0026.jpg,-0.8316423,0.17681399,-1.9284132,-0.86108047,0.17681399,-0.8316423,0.57330537,-0.7319315753810336,0.9578034
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0027.jpg,-0.2672978,0.83600426,-1.8376163,-0.42296997,0.83600426,-0.2672978,1.1730304,-0.3111160491918801,1.7523311
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0028.jpg,-0.7687515,-0.037469238,-1.6869444,-0.831055,-0.037469238,-0.7687515,0.4774135,-0.7483219507418275,0.87762123
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0029.jpg,-0.8904525,-0.45142642,-1.0204908,-0.7874565,-0.45142642,-0.8904525,0.34189132,-0.7768925770702106,0.7610786
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0030.jpg,-0.6772384,-0.015970737,-1.2892922,-0.6608338,-0.015970737,-0.6772384,0.56964517,-0.6207128864752554,1.035451
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0031.jpg,-0.4464243,0.5370265,-1.1557659,-0.35505453,0.5370265,-0.4464243,0.9804444,-0.3217209077315061,1.5779934
