filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.35259795,0.3882543,-0.019828424,0.0052759796,0.3882543,-0.019828424,1.1498221,0.004877231899636514,1.9939383
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.38350165,0.19283673,-0.08956282,-0.09340924,0.19283673,-0.08956282,1.0326457,-0.09210869356089446,1.811953
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.1880191,0.39079186,-0.3615788,-0.052935343,0.39079186,-0.1880191,1.0997202,-0.053100482879973376,1.9003308
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-0.20416307,0.20011768,-0.46722472,-0.15709004,0.20011768,-0.20416307,0.97968423,-0.1546108873191654,1.7156658
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.15192771,0.7788969,-0.8808571,-0.0846293,0.7788969,-0.15192771,1.2391117,-0.0793301130951436,1.9959692
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.018390954,1.0156157,-0.8634887,0.04457869,1.0156157,-0.018390954,1.4266031,0.03484480997475259,2.2614174
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,0.6864995,0.91563404,-0.7930144,0.26970637,0.91563404,0.6864995,1.5968766,0.25586845145492887,2.651589
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,0.35229433,0.5936911,-0.68602496,0.08665349,0.5936911,0.35229433,1.3181655,0.08846227786926508,2.2231994
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,0.27953863,0.59446716,-0.41181377,0.15406401,0.59446716,0.27953863,1.3342197,0.1500138327065038,2.2882397
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,0.40447938,0.7290684,-0.32969406,0.26795125,0.7290684,0.40447938,1.4564766,0.2583327253190675,2.5014484
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,0.27834642,1.1600766,-0.44913593,0.32976237,1.1600766,0.27834642,1.638861,0.29553730892052443,2.7034776
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-0.1912393,0.50356054,-0.35305485,-0.013577868,0.50356054,-0.1912393,1.1578479,-0.015636497809876415,1.9813364
