filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,0.4968542,0.37172493,0.07736698,0.31531537,0.4968542,0.37172493,1.4289265,0.3131031073756638,2.5237765
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,0.3424996,0.59877515,-0.53749615,0.13459288,0.59877515,0.3424996,1.3383012,0.13211700865457554,2.278222
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,0.020908833,1.0228989,-2.447144,-0.46777877,1.0228989,0.020908833,1.3581302,-0.24060528265619463,1.9883894
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,0.06708026,1.0775504,-2.7658045,-0.54039127,1.0775504,0.06708026,1.4035895,-0.23846474160192033,2.0361245
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,0.08326572,1.5107007,-3.223692,-0.5432418,1.5107007,0.08326572,1.7328128,-0.16268682193494555,2.3978362
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.24175036,1.0275962,-2.9036636,-0.7059393,1.0275962,-0.24175036,1.2904482,-0.3663395613668884,1.8156731
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,0.021438181,1.6303732,-2.7121322,-0.35344028,1.6303732,0.021438181,1.823556,-0.12838760243489467,2.4984348
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,0.3700105,1.8302794,-2.554044,-0.1179181,1.8302794,0.3700105,2.0491297,0.03388562320454902,2.8952672
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,0.36852872,1.7610404,-2.5662699,-0.14556694,1.7610404,0.36852872,1.9934636,0.021046546949170075,2.8306432
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,0.21575987,1.5702308,-2.4962208,-0.23674338,1.5702308,0.21575987,1.813351,-0.05645282597155077,2.57157
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-0.11435759,1.2855263,-2.3750384,-0.4012899,1.2855263,-0.11435759,1.5263869,-0.2142468003230228,2.1455395
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,0.027073026,1.3069568,-2.3066857,-0.32421863,1.3069568,0.027073026,1.5731775,-0.15451725777119152,2.2477736
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,0.54227173,1.6355469,0.17544995,0.7844229,1.6355469,0.54227173,2.084921,0.7127401956881265,3.5711424
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-0.03994471,1.7473176,-0.88683,0.2735143,1.7473176,-0.03994471,1.961782,0.17832946569444885,2.871207
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-0.09015584,1.8634574,-1.281979,0.1637742,1.8634574,-0.09015584,2.033039,0.080562446535144,2.8451567
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-0.11478734,1.7344494,-1.3795736,0.08002949,1.7344494,-0.11478734,1.9182525,0.029859305161857974,2.693423
