filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.19371617,-1.1327636,0.09183577,-0.41154802,0.09183577,-0.19371617,0.8074657,-0.3800893823007738,1.399909
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.3343203,-1.0733715,0.06559171,-0.4473667,0.06559171,-0.3343203,0.7539925,-0.4216802899390627,1.3246456
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.7439272,-1.2128689,-1.5454782,-1.1674248,-0.7439272,-1.2128689,-0.014305115,-1.13978383272053,0.27911484
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-0.75140196,-1.0855398,-2.1979392,-1.3449602,-0.75140196,-1.0855398,-0.08288616,-1.2407609247886928,0.17169827
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.71228456,-0.24944872,-1.517196,-0.82630974,-0.24944872,-0.71228456,0.39815748,-0.7738690949391747,0.80362856
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.26245254,-0.03891757,-1.2015638,-0.500978,-0.03891757,-0.26245254,0.708881,-0.46664774743534315,1.2569107
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.5175574,-0.35510278,-0.79520154,-0.5559539,-0.35510278,-0.5175574,0.55879617,-0.5513955529526484,1.0786381
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.5025287,-0.4434328,0.19993028,-0.24867709,0.19993028,-0.4434328,0.9034672,-0.24429219095241028,1.5796938
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.14947677,-0.32571805,0.49685857,0.0072212517,0.49685857,-0.14947677,1.1714653,0.0049385964555054285,2.0112157
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,0.08451271,-0.44984785,0.65756774,0.097410865,0.65756774,0.08451271,1.2963707,0.09236738522104782,2.1995056
