filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.27950782,-0.93894625,-0.32119268,-0.5132156,-0.27950782,-0.32119268,0.6272632,-0.5007791249167112,1.1677231
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.6452422,-1.1628956,-1.6430966,-1.1504115,-0.6452422,-1.1628956,0.030039847,-1.108863946732229,0.3278947
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.90998787,-0.98879635,-3.5899086,-1.8295642,-0.90998787,-0.98879635,-0.2204544,-1.4178178283793121,-0.022842705
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-0.97486556,-0.89253557,-4.038534,-1.9686451,-0.89253557,-0.97486556,-0.21755642,-1.4246162873323887,-0.02470547
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.66494805,-0.4807075,-2.4793932,-1.2083496,-0.4807075,-0.66494805,0.19592866,-1.0132556680080826,0.50441235
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.29072863,-0.17293198,-2.039164,-0.83427495,-0.17293198,-0.29072863,0.5417723,-0.6933694380474511,0.9695123
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.6754512,-0.54971755,-1.8848882,-1.0366856,-0.54971755,-0.6754512,0.21340477,-0.9526847605132321,0.5545188
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.40966696,-0.23566206,-2.063161,-0.90282995,-0.23566206,-0.40966696,0.45803905,-0.7643973607608948,0.85731363
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.35797054,-0.13090405,-1.7965858,-0.76182014,-0.13090405,-0.35797054,0.55518305,-0.6617516741031011,1.0001799
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-0.40975106,-0.27828813,-2.0366719,-0.908237,-0.27828813,-0.40975106,0.4391296,-0.7764580053580901,0.8350178
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-0.9074778,-0.85769415,-1.7759949,-1.1803889,-0.85769415,-0.9074778,-0.0030098557,-1.1342443930824224,0.29063022
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-0.6866543,-0.5585686,-1.9693005,-1.0715078,-0.5585686,-0.6866543,0.19461131,-0.9758962060881455,0.5264729
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-0.8402545,-0.6947341,-0.42173746,-0.652242,-0.42173746,-0.6947341,0.46166524,-0.6476424024495244,0.93766665
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-0.8006997,-0.60930276,-0.84909433,-0.75303227,-0.60930276,-0.8006997,0.3510418,-0.7511428835027544,0.7856501
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-0.97828406,-0.7718636,-0.8375113,-0.86255294,-0.7718636,-0.8375113,0.23971975,-0.8610379153706257,0.6326316
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-0.88709915,-0.55073076,-1.0655257,-0.83445185,-0.55073076,-0.88709915,0.28737485,-0.8257102127099806,0.68949974
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-0.64297813,-0.53778356,-0.97006917,-0.71694356,-0.53778356,-0.64297813,0.39798558,-0.7109849469044126,0.8471202
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-0.71334493,-0.59976673,-0.93129134,-0.7481343,-0.59976673,-0.71334493,0.35976082,-0.7447177501224589,0.7963122
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-0.8502236,-0.68584734,-0.8150151,-0.7836954,-0.68584734,-0.8150151,0.31744617,-0.782775113781193,0.7401211
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,-0.4734082,-0.09417191,-1.1133859,-0.560322,-0.09417191,-0.4734082,0.6213541,-0.5357583704333501,1.1372058
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0020.jpg,-0.69199836,-0.5230658,-0.9649615,-0.7266752,-0.5230658,-0.69199836,0.38816512,-0.7208610758396459,0.8331431
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0021.jpg,-0.40870988,-0.27072543,-0.9362999,-0.53857845,-0.27072543,-0.40870988,0.5985116,-0.5270739526011236,1.1264477
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0022.jpg,-0.73261875,-0.3756674,-0.787856,-0.63204736,-0.3756674,-0.73261875,0.48384374,-0.6272223240632884,0.9683369
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0023.jpg,-0.6004605,-0.17907023,-1.0865887,-0.62203985,-0.17907023,-0.6004605,0.54346985,-0.6017194432512245,1.0304881
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0024.jpg,-0.945701,-0.6730163,-0.21799463,-0.6122373,-0.21799463,-0.6730163,0.5322178,-0.5996254683727259,1.0234461
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0025.jpg,-0.8320448,-0.24360168,-0.89669466,-0.65744704,-0.24360168,-0.8320448,0.48666048,-0.6450138965907186,0.9571695
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0026.jpg,-0.8733817,-0.4584405,-0.9104769,-0.747433,-0.4584405,-0.8733817,0.37303725,-0.7403097641052888,0.8085804
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0027.jpg,-0.5240477,-0.20236978,-1.1636705,-0.6300293,-0.20236978,-0.5240477,0.5430505,-0.6051679619293874,1.0281909
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0028.jpg,-0.88135886,-0.45051694,-0.925195,-0.75235695,-0.45051694,-0.88135886,0.37016428,-0.7445428062816019,0.803565
