filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.179672,-1.5050607,-0.4430503,-0.709261,-0.179672,-0.4430503,0.5304065,-0.6515977186554132,0.9870262
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.08184171,-0.9980556,-0.8916258,-0.65717435,-0.08184171,-0.8916258,0.5306294,-0.6342398454072293,0.9961246
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.3437211,-0.79333746,-3.3523657,-1.4964747,-0.3437211,-0.79333746,0.17936784,-1.0806023104089713,0.45050338
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-0.3441794,-0.76034343,-3.626477,-1.577,-0.3441794,-0.76034343,0.18474978,-1.0821707354973444,0.4538776
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.93066156,-1.4355583,-0.9851413,-1.1171204,-0.93066156,-0.9851413,0.005645752,-1.104135477112523,0.3152604
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.56235224,-1.5393035,-1.0050032,-1.035553,-0.56235224,-1.0050032,0.14014524,-0.9986872397846474,0.4728549
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.21637815,-1.3263183,-0.96986914,-0.83752185,-0.21637815,-0.96986914,0.3715747,-0.7988866142174298,0.7658803
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.061438084,-0.9279895,-1.2941594,-0.76119566,-0.061438084,-0.9279895,0.4761641,-0.7185642527201785,0.8959917
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.44882175,-1.2300515,-1.2353851,-0.9714195,-0.44882175,-1.2300515,0.19998148,-0.9427201957149031,0.54972243
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-0.8448061,-1.6149881,-1.1060847,-1.1886263,-0.8448061,-1.1060847,-0.041462302,-1.1617977890504836,0.24768919
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-0.662712,-1.0377612,-1.1021763,-0.9342165,-0.662712,-1.0377612,0.18385857,-0.9262716385938066,0.550408
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-0.25777048,-0.68449414,-1.1731013,-0.705122,-0.25777048,-0.68449414,0.46154535,-0.6819693246669429,0.91308767
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-0.744697,-1.0420575,-0.7625167,-0.849757,-0.744697,-0.7625167,0.25781345,-0.8459787930204758,0.6553466
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-0.7089511,-1.0062945,-1.066204,-0.92714983,-0.7089511,-1.0062945,0.18402368,-0.9219832284733065,0.5534486
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-0.619303,-0.69347274,-1.0994095,-0.8040617,-0.619303,-0.69347274,0.31570405,-0.7953682297735284,0.73029476
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-0.7414869,-1.3010429,-1.0209244,-1.0211514,-0.7414869,-1.0209244,0.103381634,-1.0090183097259247,0.4415088
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-0.56162804,-1.2163339,-0.9291671,-0.90237635,-0.56162804,-0.9291671,0.23228312,-0.8875504107131703,0.6094341
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-0.5411022,-1.0932045,-0.579999,-0.7381019,-0.5411022,-0.579999,0.39011192,-0.7265157486938658,0.83074516
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-0.09447342,-0.321421,-0.72648513,-0.38079318,-0.09447342,-0.321421,0.75074404,-0.3740404394045861,1.3579116
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,-0.41171283,-0.88553977,-0.9352006,-0.7441511,-0.41171283,-0.88553977,0.38356912,-0.73483571963992,0.81978315
