filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-1.7133055,-1.6957598,-1.279087,-1.5627174,-1.279087,-1.6957598,-0.4431358,-1.5495332551485819,-0.24141145
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-2.0181775,-1.7686329,-1.890119,-1.8923098,-1.7686329,-1.890119,-0.7885193,-1.8884879714730438,-0.64160174
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-2.2829018,-1.4316022,-2.8540418,-2.1895154,-1.4316022,-2.2829018,-0.91998595,-2.0575642071308744,-0.8120741
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-2.3105779,-1.3897123,-3.0368268,-2.2457056,-1.3897123,-2.3105779,-0.92548835,-2.0721698343678128,-0.82335496
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-2.2628846,-1.282764,-3.136449,-2.2273657,-1.282764,-2.2628846,-0.8562391,-2.0148666361819094,-0.75199974
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-2.2152543,-1.2393416,-3.1415434,-2.198713,-1.2393416,-2.2152543,-0.81663406,-1.9787221331556955,-0.7090478
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-2.2413483,-1.3315525,-3.0635855,-2.212162,-1.3315525,-2.2413483,-0.87442464,-2.0255608739823727,-0.76831895
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-2.2886395,-1.3829544,-3.1140983,-2.2618973,-1.3829544,-2.2886395,-0.9246776,-2.0733833620789777,-0.8235496
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-2.2963543,-1.3412353,-3.0907738,-2.2427876,-1.3412353,-2.2963543,-0.8974342,-2.049786778534551,-0.79497594
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-2.2600198,-1.3610258,-3.1410396,-2.2540283,-1.3610258,-2.2600198,-0.9063803,-2.057108981413558,-0.80409384
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-2.266337,-1.3964686,-3.1687763,-2.277194,-1.3964686,-2.266337,-0.93339705,-2.0816334666540803,-0.83304566
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-2.1575642,-1.2491398,-3.2109604,-2.205888,-1.2491398,-2.1575642,-0.81491804,-1.976021062251774,-0.7064663
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-1.9127825,-1.1390895,-2.2359974,-1.7626232,-1.1390895,-1.9127825,-0.5539684,-1.6890048027514033,-0.39010417
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-1.9977636,-1.1535752,-2.5463054,-1.8992147,-1.1535752,-1.9977636,-0.63579243,-1.7825930993886216,-0.4926241
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-1.990094,-1.0419663,-2.628589,-1.8868831,-1.0419663,-1.990094,-0.57692415,-1.738951050395347,-0.4328654
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-2.0253046,-1.1882503,-2.642051,-1.9518687,-1.1882503,-2.0253046,-0.6774259,-1.8246675084680644,-0.5411129
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-2.051394,-1.1004922,-2.647804,-1.93323,-1.1004922,-2.051394,-0.6309813,-1.7887346986807502,-0.49342838
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-2.0528927,-1.1068394,-2.720199,-1.9599771,-1.1068394,-2.0528927,-0.6446868,-1.804224197467201,-0.510347
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-2.1550355,-1.1195637,-2.6043437,-1.9596475,-1.1195637,-2.1550355,-0.6611198,-1.8185795660131028,-0.52828884
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,-2.2159672,-1.1870133,-2.6645877,-2.0225227,-1.1870133,-2.2159672,-0.72606856,-1.8798599906896043,-0.6010484
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0020.jpg,-2.266902,-1.4159107,-2.8107188,-2.1645105,-1.4159107,-2.266902,-0.90017396,-2.037539251251154,-0.7896568
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0021.jpg,-2.251219,-1.3758963,-2.7868698,-2.137995,-1.3758963,-2.251219,-0.8686973,-2.008464864525219,-0.75549173
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0022.jpg,-2.294064,-1.3975884,-2.6708467,-2.1208332,-1.3975884,-2.294064,-0.87408954,-2.0098093864933135,-0.75932914
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0023.jpg,-2.1754804,-1.1621834,-2.7431395,-2.0269344,-1.1621834,-2.1754804,-0.7118734,-1.8697264424294777,-0.587034
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0024.jpg,-1.9700632,-1.17329,-2.0746915,-1.7393483,-1.17329,-1.9700632,-0.5544454,-1.6826767264695572,-0.38667315
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0025.jpg,-2.0553856,-1.2644601,-2.4628859,-1.9275771,-1.2644601,-2.0553856,-0.70193785,-1.837004896851946,-0.56242216
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0026.jpg,-2.0489635,-1.248784,-2.6361372,-1.9779615,-1.248784,-2.0489635,-0.7187537,-1.8605511648984598,-0.58563
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0027.jpg,-1.994737,-1.0623457,-2.5689414,-1.8753414,-1.0623457,-1.994737,-0.58284074,-1.7404108148537047,-0.4371982
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0028.jpg,-2.036612,-1.0381337,-2.606016,-1.8935871,-1.0381337,-2.036612,-0.58265644,-1.7459540861782945,-0.44036496
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0029.jpg,-1.9960979,-0.9685111,-2.648776,-1.8711284,-0.9685111,-1.9960979,-0.534009,-1.7064990575909988,-0.38868833
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0030.jpg,-1.9978054,-0.9185126,-2.784313,-1.9002104,-0.9185126,-1.9978054,-0.5166486,-1.7013365592559535,-0.37538475
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0031.jpg,-2.0118704,-0.9285599,-2.8008254,-1.913752,-0.9285599,-2.0118704,-0.52827615,-1.71265547769403,-0.3888917
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0032.jpg,-2.0725293,-1.1333644,-2.777377,-1.9944235,-1.1333644,-2.0725293,-0.6733117,-1.8322947375749712,-0.54315126
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0033.jpg,-2.0037365,-1.0702349,-2.7126937,-1.9288883,-1.0702349,-2.0037365,-0.6085922,-1.7706137199348444,-0.46980417
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0034.jpg,-1.9481645,-1.0166913,-2.7659624,-1.9102726,-1.0166913,-1.9481645,-0.56697106,-1.735601349860598,-0.4249794
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0035.jpg,-1.9700916,-1.0240463,-2.7805212,-1.9248863,-1.0240463,-1.9700916,-0.57876706,-1.7477202048568745,-0.43898672
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0036.jpg,-1.9448632,-1.0955675,-2.0749066,-1.7051125,-1.0955675,-1.9448632,-0.5059629,-1.640366299898355,-0.33312064
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0037.jpg,-2.0440063,-1.1246767,-2.3650973,-1.8445934,-1.1246767,-2.0440063,-0.60110337,-1.745946735715396,-0.45115805
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0038.jpg,-2.0511134,-1.0451835,-2.5167413,-1.8710127,-1.0451835,-2.0511134,-0.57813925,-1.7377840188069091,-0.43298265
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0039.jpg,-2.0745864,-1.1188939,-2.4902995,-1.8945932,-1.1188939,-2.0745864,-0.6252372,-1.77611892211499,-0.4828074
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0040.jpg,-2.0014787,-1.0130898,-2.5594108,-1.8579931,-1.0130898,-2.0014787,-0.5523754,-1.7158481104671752,-0.40499276
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0041.jpg,-1.9971893,-1.0102614,-2.5831945,-1.8635483,-1.0102614,-1.9971893,-0.55273795,-1.7173075563097306,-0.4060505
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0042.jpg,-1.9566197,-0.9750509,-2.5583007,-1.8299904,-0.9750509,-1.9566197,-0.51760745,-1.684304364631684,-0.36595803
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0043.jpg,-1.9246804,-0.9677172,-2.5856082,-1.8260018,-0.9677172,-1.9246804,-0.50879097,-1.6763284994782706,-0.35600758
