filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,0.041311085,-0.38996404,-0.42583188,-0.25816163,0.041311085,-0.38996404,0.8639374,-0.2558201981385495,1.5394719
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.14141029,-0.37590683,-0.8236607,-0.4469926,-0.14141029,-0.37590683,0.68995285,-0.4377832403602412,1.2623199
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.4517945,-0.24661276,-2.3636787,-1.0206953,-0.24661276,-0.4517945,0.41343442,-0.8258398847513473,0.78369963
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-0.46334624,-0.22727014,-2.384599,-1.0250717,-0.22727014,-0.46334624,0.41739774,-0.82521590357102,0.7870079
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.58818114,-0.29367012,-2.4921746,-1.1246753,-0.29367012,-0.58818114,0.32468057,-0.9107054321280937,0.6624179
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.58306223,-0.2054902,-2.4179485,-1.0688337,-0.2054902,-0.58306223,0.37948975,-0.8650596559454178,0.73180467
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.5613459,-0.23883747,-2.6148713,-1.1383516,-0.23883747,-0.5613459,0.35848594,-0.892154330836797,0.699455
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.6852182,-0.26308602,-2.6278868,-1.1920637,-0.26308602,-0.6852182,0.29630995,-0.9493146489946522,0.6163694
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.6278366,-0.34615284,-2.6937516,-1.2225803,-0.34615284,-0.6278366,0.26909268,-0.9682975152334641,0.58546126
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-1.032891,-0.64620996,-2.3860247,-1.3550419,-0.64620996,-1.032891,-0.028400362,-1.207158242492629,0.22845525
