filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,0.19739664,-0.3330399,0.14551885,0.0032918602,0.19739664,0.14551885,1.1286914,0.004008411943053791,1.9758501
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,0.08683264,-0.18893054,-0.16524331,-0.089113735,0.08683264,-0.16524331,1.017491,-0.08887873238689115,1.8018644
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,0.099871516,0.39995083,-1.1251599,-0.20844583,0.39995083,0.099871516,1.0720564,-0.17554482274865013,1.7830225
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,0.04265195,0.30332264,-1.4274758,-0.36050043,0.30332264,0.04265195,0.96996033,-0.296270696444761,1.6025318
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.062396348,1.0847055,-0.22977498,0.26417804,1.0847055,-0.062396348,1.5460275,0.2338559946395441,2.5478215
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.10681176,0.7652482,-0.13712326,0.17377107,0.7652482,-0.10681176,1.3661134,0.16247290005178772,2.3217723
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.007064998,0.9223181,-0.28687006,0.20946102,0.9223181,-0.007064998,1.44896,0.1905993632257137,2.4215996
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,0.17284703,0.45650443,-0.31831393,0.10367919,0.45650443,0.17284703,1.2512203,0.10192257596061549,2.1688998
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,0.12429476,0.7903938,-0.12545614,0.26307747,0.7903938,0.12429476,1.439529,0.25148594404432956,2.4731395
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-0.106325686,0.6462612,-0.041410986,0.16617484,0.6462612,-0.041410986,1.326268,0.1593493705392668,2.2847042
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-0.2692765,0.1359798,0.006054964,-0.04241391,0.1359798,0.006054964,1.0700976,-0.041951318324945364,1.8859445
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,0.10166609,0.21509668,-0.184519,0.04408126,0.21509668,0.10166609,1.1564094,0.043957741965511166,2.033934
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,0.20910156,0.95478344,0.301875,0.48858666,0.95478344,0.301875,1.6453977,0.47410220206370335,2.8846238
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,0.057976425,0.36676,0.13860942,0.18778194,0.36676,0.13860942,1.2951152,0.18689276780251662,2.2836041
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,0.31338823,0.20413229,0.045540135,0.1876869,0.31338823,0.20413229,1.2922873,0.18714663066918225,2.2814028
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-0.32447004,-0.96550715,-0.2775814,-0.5225195,-0.2775814,-0.32447004,0.6212829,-0.5088200963815301,1.1572973
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,0.034149885,-0.36862636,-0.40512887,-0.24653511,0.034149885,-0.36862636,0.8726792,-0.24455779542851774,1.5555445
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-0.18697286,-0.049794436,-0.5774071,-0.27139148,-0.049794436,-0.18697286,0.85110915,-0.26761795035348646,1.5204165
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-0.16506249,0.4956195,-0.5070449,-0.058829296,0.4956195,-0.16506249,1.128698,-0.0584916811424806,1.9199843
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,0.05994433,0.19129047,-0.6201918,-0.12298567,0.19129047,0.05994433,1.0333375,-0.11693726624019163,1.7933897
