filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.0580647,-0.46183228,-0.05978286,-0.19322662,-0.0580647,-0.05978286,0.9225455,-0.19111574157406364,1.6395282
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.024739742,-0.25054842,-0.83905077,-0.37144628,-0.024739742,-0.25054842,0.78209996,-0.3595043272603966,1.3941276
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.32191432,-0.19390856,-2.6074948,-1.0411059,-0.19390856,-0.32191432,0.48379087,-0.783743280299822,0.8660016
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-0.36220282,-0.16765735,-2.7054758,-1.0784453,-0.16765735,-0.36220282,0.47537872,-0.798154842010462,0.8500263
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.56612706,0.022985727,-4.7885594,-1.7772336,0.022985727,-0.56612706,0.46956378,-0.8854761959694919,0.78768265
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.46820486,0.1586872,-4.842467,-1.7173282,0.1586872,-0.46820486,0.5911056,-0.7962949758793014,0.9399115
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.45961636,0.2685214,-4.889302,-1.6934656,0.2685214,-0.45961636,0.66633165,-0.7518161211528719,1.027457
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.3693114,0.42049453,-4.2197595,-1.3895254,0.42049453,-0.3693114,0.8013855,-0.6532122191027145,1.2027217
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.06464267,0.48510548,-3.8345473,-1.1380281,0.48510548,-0.06464267,0.9490907,-0.5123168422232618,1.4337251
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,0.06669921,0.41175655,-3.5291717,-1.0169053,0.41175655,0.06669921,0.9584954,-0.48012017930917134,1.4688644
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-0.12384689,0.06342295,-3.3342235,-1.1315491,0.06342295,-0.12384689,0.68543494,-0.6642691296350042,1.1082389
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,0.14285004,0.20843974,-3.1503363,-0.9330155,0.20843974,0.14285004,0.8871293,-0.5056350068111388,1.3893142
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-0.54451877,-0.11146262,-0.23794287,-0.29797477,-0.11146262,-0.23794287,0.8166442,-0.29533684081148837,1.4709247
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-0.8623618,0.045084417,-3.1056185,-1.307632,0.045084417,-0.8623618,0.41414517,-0.9263598397966818,0.71308076
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-0.8606589,-0.05012226,-4.27041,-1.7270638,-0.05012226,-0.8606589,0.3278441,-1.0142323689029218,0.59608924
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-0.43312752,0.3501313,-4.152864,-1.4119534,0.3501313,-0.43312752,0.7340257,-0.699896882356253,1.1153963
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-0.42692912,0.45978132,-3.7421029,-1.2364169,0.45978132,-0.42692912,0.81533897,-0.64702983867413,1.215163
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-0.5880887,0.18601832,-3.2664268,-1.2228323,0.18601832,-0.5880887,0.58666074,-0.7842938812766602,0.9398305
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-0.64644134,0.021407247,-3.019087,-1.214707,0.021407247,-0.64644134,0.4664917,-0.8541095820058694,0.8025717
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,-0.9261264,-0.05370322,-2.6640878,-1.2146392,-0.05370322,-0.9261264,0.34604138,-0.9520557490787394,0.6463695
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0020.jpg,-0.5740325,0.23910072,-2.713074,-1.0160019,0.23910072,-0.5740325,0.64169,-0.7202630188310646,1.0239391
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0021.jpg,-0.438872,0.37373373,-2.7784379,-0.94785875,0.37373373,-0.438872,0.77013093,-0.6295008756847075,1.1895368
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0022.jpg,-0.052674174,0.348816,-2.456529,-0.720129,0.348816,-0.052674174,0.8968264,-0.4724248864214491,1.4145416
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0023.jpg,0.014996767,0.73157203,-2.6333296,-0.62892026,0.73157203,0.014996767,1.152246,-0.34206587211835027,1.7314492
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0024.jpg,-0.24821144,0.28048757,-0.25091273,-0.07287887,0.28048757,-0.24821144,1.0585054,-0.07266069178073908,1.8493294
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0025.jpg,-0.8922621,0.14769503,-3.859803,-1.53479,0.14769503,-0.8922621,0.46370846,-0.9310465587895738,0.7457238
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0026.jpg,-0.92592543,0.021862894,-4.244161,-1.7160746,0.021862894,-0.92592543,0.35950217,-1.0058771304109224,0.6225617
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0027.jpg,-0.53043795,0.37392226,-4.37573,-1.5107485,0.37392226,-0.53043795,0.7199597,-0.7305171132992947,1.0804173
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0028.jpg,-0.70192957,0.40353128,-3.942956,-1.4137849,0.40353128,-0.70192957,0.6991893,-0.7692219106459172,1.0321716
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0029.jpg,-0.707934,0.291333,-3.8117712,-1.4094573,0.291333,-0.707934,0.6167952,-0.809472566659571,0.942862
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0030.jpg,-0.5789533,0.3755844,-3.197379,-1.1335827,0.3755844,-0.5789533,0.7213439,-0.706307850315734,1.0949144
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0031.jpg,-0.1724444,0.49548045,-3.1586137,-0.9451926,0.49548045,-0.1724444,0.9263902,-0.5191610162157393,1.4038545
