filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,0.23833072,0.3890073,0.38779914,0.33837906,0.3890073,0.38779914,1.4394507,0.33797937769340414,2.5568871
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,0.28242052,0.4762027,0.2870824,0.34856856,0.4762027,0.2870824,1.4513373,0.3478276061128869,2.577354
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,0.17757499,0.6052706,-0.8628756,-0.026676655,0.6052706,0.17757499,1.237798,-0.016163563913402457,2.0586812
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,0.278296,0.7374568,-1.0249887,-0.0030786197,0.7374568,0.278296,1.3271518,0.012832959604658245,2.1686628
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,0.2633562,0.7403511,-1.5104519,-0.16891487,0.7403511,0.2633562,1.2861347,-0.10221486580816852,2.0412083
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,0.30927038,0.4366226,-1.1767147,-0.14360721,0.4366226,0.30927038,1.1688199,-0.10702911555935357,1.9276856
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,0.7906693,0.6523547,-0.82069266,0.20744379,0.7906693,0.6523547,1.5184306,0.20219626429228832,2.5239105
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.2312764,-0.083500534,-0.7785036,-0.36442685,-0.083500534,-0.2312764,0.7758801,-0.3554053086121738,1.3923222
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.22584832,0.09991208,-0.7817354,-0.30255723,0.09991208,-0.22584832,0.85888374,-0.29181334103922163,1.5077267
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,0.020661354,0.7233434,-0.5202623,0.07458081,0.7233434,0.020661354,1.301976,0.06842533431824427,2.1819522
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-0.38517696,0.30775347,-0.43003264,-0.16915204,0.30775347,-0.38517696,0.98998106,-0.16660530169063437,1.713105
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-0.44443354,0.29652998,-0.8782809,-0.3420615,0.29652998,-0.44443354,0.8762462,-0.32576636351024446,1.4924731
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,0.3513552,1.3504977,0.5094063,0.7370865,1.3504977,0.5094063,1.9379703,0.7018966533985898,3.4125996
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,0.06601143,0.5575733,-1.1427568,-0.17305736,0.5575733,0.06601143,1.1421847,-0.14129822817230342,1.8705598
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-0.13069522,0.5048065,-1.1526449,-0.2595112,0.5048065,-0.13069522,1.0473017,-0.22633829091688817,1.71614
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,0.19552076,0.8302603,-1.1559654,-0.043394804,0.8302603,0.19552076,1.3414574,-0.02061893118714897,2.1513622
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,0.38037908,1.1588004,-0.90096927,0.21273673,1.1588004,0.38037908,1.6204023,0.19249955907360816,2.6024873
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,0.4427942,0.9923631,-0.7207758,0.23812717,0.9923631,0.4427942,1.556254,0.2218404924444931,2.5690649
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,0.07508707,0.48381206,-0.818738,-0.08661294,0.48381206,0.07508707,1.1446089,-0.07544616237754598,1.924526
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,0.2608137,0.610903,-0.93102956,-0.01977094,0.610903,0.2608137,1.2624948,-0.005734828426174565,2.0925193
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0020.jpg,0.21807563,0.94982505,-0.93472356,0.07772571,0.94982505,0.21807563,1.440222,0.07650568365045551,2.322689
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0021.jpg,0.470284,0.96641445,-0.8474343,0.19642138,0.96641445,0.470284,1.5384712,0.18697834891360754,2.5240529
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0022.jpg,-0.075306475,0.6898937,-0.6898873,-0.025100013,0.6898937,-0.075306475,1.2303991,-0.02508957438893844,2.0365608
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0023.jpg,-0.25332534,0.9046838,-0.9133574,-0.087332964,0.9046838,-0.25332534,1.2943273,-0.08641436201813602,2.0332615
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0024.jpg,0.062770426,1.2820919,1.3692455,0.9047026,1.3692455,1.2820919,2.1519175,0.8405631080743063,3.8262527
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0025.jpg,0.021582484,1.1760428,1.183473,0.79369944,1.183473,1.1760428,2.0187669,0.7464328829523084,3.5718067
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0026.jpg,0.5138707,1.6229126,0.78456116,0.9737815,1.6229126,0.78456116,2.189531,0.9240046269281641,3.926691
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0027.jpg,0.40245545,1.5722222,0.8146565,0.9297781,1.5722222,0.8146565,2.1484118,0.880019173790364,3.8351986
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0028.jpg,-0.038428366,1.2484207,0.62689674,0.6122964,1.2484207,0.62689674,1.8435497,0.5742154313036616,3.1893847
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0029.jpg,-0.19012904,1.2169917,0.5848761,0.5372462,1.2169917,0.5848761,1.7915318,0.49851780059612494,3.0609303
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0030.jpg,-0.23964787,1.1783912,0.55526483,0.49800274,1.1783912,0.55526483,1.7541355,0.46189062321480245,2.9868205
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0031.jpg,-0.13549078,1.3034406,0.53022957,0.56605977,1.3034406,0.53022957,1.8333095,0.5209776778746897,3.1212516
