filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.43695265,-0.72715425,-0.41638467,-0.5268305,-0.41638467,-0.43695265,0.5814953,-0.5241187372301905,1.1156223
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.66456115,-0.51285255,-0.9244725,-0.70062876,-0.51285255,-0.66456115,0.41212618,-0.6957158162759519,0.86794484
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.73946893,-0.20815536,-2.5662372,-1.1712872,-0.20815536,-0.73946893,0.31208608,-0.9401473971145429,0.6327472
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-0.7485198,-0.20522127,-2.857838,-1.2705263,-0.20522127,-0.7485198,0.29633912,-0.9705787464589576,0.60225445
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-1.0040942,-0.19670501,-1.2741212,-0.8249734,-0.19670501,-1.0040942,0.3835506,-0.7881913860641901,0.78152966
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.45310575,0.14637467,-0.9221481,-0.4096264,0.14637467,-0.45310575,0.78433275,-0.3920503396174063,1.3692846
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,0.3533157,1.1609783,-0.5067427,0.33585045,1.1609783,0.3533157,1.6523616,0.30212983395039594,2.7269256
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.78744835,0.15447733,-0.9488082,-0.52725977,0.15447733,-0.78744835,0.6977637,-0.5031755626797563,1.2160802
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.06330776,0.7456404,-0.81369525,-0.04378754,0.7456404,-0.06330776,1.2498051,-0.0406590127927996,2.0406082
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-0.20977676,0.59845114,-0.17869928,0.0699917,0.59845114,-0.17869928,1.2431228,0.0646796977974512,2.1252232
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,0.14878786,0.9976717,-0.13701627,0.3364811,0.9976717,0.14878786,1.556953,0.3139240773803731,2.639914
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-0.38348317,0.88992214,-0.32236794,0.06135701,0.88992214,-0.32236794,1.345695,0.04568791203406963,2.1927662
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-0.07981193,0.6283784,1.5721401,0.7069022,1.5721401,0.6283784,2.0300941,0.6341177544690415,3.4391265
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-0.57355344,0.73142576,-1.4445823,-0.42890334,0.73142576,-0.57355344,1.056889,-0.36896678187945975,1.5989021
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-0.43579388,0.971964,-1.2126108,-0.22548024,0.971964,-0.43579388,1.2774001,-0.20404647635521622,1.914515
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-0.09157461,0.98125994,-1.2658399,-0.12538487,0.98125994,-0.09157461,1.3512658,-0.10081771876281076,2.0785444
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-0.48708656,1.1992757,-0.9800696,-0.08929346,1.1992757,-0.48708656,1.4603373,-0.10428910801316527,2.1501944
