filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.46291578,-0.7860851,-0.40131435,-0.5501051,-0.40131435,-0.46291578,0.5621897,-0.5461118340343476,1.0850812
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.5289016,-0.29625443,-0.87540346,-0.5668531,-0.29625443,-0.5289016,0.55935514,-0.5589409152179944,1.073528
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.9563976,-0.16197646,-1.671178,-0.92985076,-0.16197646,-0.9563976,0.35259968,-0.8545122594410735,0.7145086
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-1.1219196,-0.2558548,-1.9095718,-1.0957822,-0.2558548,-1.1219196,0.22158411,-0.992818216594129,0.53091574
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-1.0761974,0.19382772,-4.5854006,-1.82259,0.19382772,-1.0761974,0.44787055,-0.990181302963157,0.69257516
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.6407993,0.6723939,-3.5768356,-1.181747,0.6723939,-0.6407993,0.9217782,-0.6421113950413426,1.2931451
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.6633114,0.63901734,-3.6966197,-1.2403046,0.63901734,-0.6633114,0.88976926,-0.6651750869080495,1.2512069
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.29078472,1.011887,-3.2912028,-0.8567002,1.011887,-0.29078472,1.2629035,-0.40952894287738306,1.757698
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.07082045,1.011503,-2.931007,-0.6634415,1.011503,-0.07082045,1.3176682,-0.3142156081509412,1.8915232
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-0.17598116,1.0061921,-2.6883173,-0.6193688,1.0061921,-0.17598116,1.2924767,-0.33364986971980426,1.8460213
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-0.51184964,0.6874355,-2.5323317,-0.7855819,0.6874355,-0.51184964,0.9811299,-0.5268170092296182,1.4254713
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-0.22206533,1.0187511,-2.3389876,-0.5141006,1.0187511,-0.22206533,1.2993798,-0.3126758308604647,1.8630537
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-0.52190113,0.08643037,-0.44225448,-0.2925751,0.08643037,-0.44225448,0.8442587,-0.28837410090971727,1.4975766
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-0.49481583,0.39018318,-2.8752754,-0.99330264,0.39018318,-0.49481583,0.7623631,-0.6507287766796788,1.1670471
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-0.23383307,0.8839083,-3.7154267,-1.0217838,0.8839083,-0.23383307,1.1743934,-0.4428244378343395,1.6632999
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,0.13002527,1.0208275,-2.9924147,-0.613854,1.0208275,0.13002527,1.3773834,-0.24743595391021522,2.0122778
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,0.48256683,1.5018058,-2.7678387,-0.26115537,1.5018058,0.48256683,1.8201549,-0.0062873123039294265,2.659407
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-0.20633948,1.1466498,-2.448559,-0.50274956,1.1466498,-0.20633948,1.3981254,-0.28587819498793987,1.9701837
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-0.16401613,1.3506058,-2.2270465,-0.34681892,1.3506058,-0.16401613,1.5720139,-0.19977618242067274,2.1920238
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,-0.060644686,1.2358742,-2.2672312,-0.36400056,1.2358742,-0.060644686,1.5009931,-0.19587466802812425,2.141782
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0020.jpg,-0.3758272,1.4887841,-1.9718322,-0.28629175,1.4887841,-0.3758272,1.6596797,-0.20710816504342733,2.244649
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0021.jpg,-0.005257964,1.5706314,-1.8875128,-0.107379794,1.5706314,-0.005257964,1.7843803,-0.055898047490838154,2.5131714
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0022.jpg,0.19757724,1.2977135,-2.0260756,-0.17692828,1.2977135,0.19757724,1.6116785,-0.06512102800102093,2.3705564
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0023.jpg,-0.06654036,1.3274308,-1.7845011,-0.17453687,1.3274308,-0.06654036,1.5840888,-0.11006486844428265,2.2809525
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0024.jpg,-0.15177435,0.18084154,-0.35794476,-0.10962585,0.18084154,-0.15177435,1.0139687,-0.10854134572194318,1.7823995
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0025.jpg,-0.7034112,0.4702954,-2.5962036,-0.9431065,0.4702954,-0.7034112,0.7746891,-0.6694007860702298,1.1560173
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0026.jpg,-0.6213745,0.52902484,-2.8457646,-0.97937137,0.52902484,-0.6213745,0.82967424,-0.6431194119621182,1.2199814
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0027.jpg,-0.12208301,0.7687154,-2.4230332,-0.5921336,0.7687154,-0.12208301,1.1412632,-0.35819026636131557,1.7008778
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0028.jpg,-0.18276376,0.87855446,-2.109226,-0.47114506,0.87855446,-0.18276376,1.212451,-0.3102492256004312,1.7923385
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0029.jpg,0.07630563,1.0141926,-1.9531142,-0.28753865,1.0141926,0.07630563,1.3808446,-0.1642064473247078,2.0694163
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0030.jpg,0.006591797,0.97760415,-1.8968929,-0.30423233,0.97760415,0.006591797,1.3388693,-0.18890501501809975,2.0070934
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0031.jpg,-0.12512511,0.9203398,-2.0441043,-0.41629657,0.9203398,-0.12512511,1.2590363,-0.2702728164132375,1.8661066
