filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.6629252,-1.5308464,-0.1262462,-0.7733393,-0.1262462,-0.6629252,0.4781528,-0.7135677700791927,0.9033162
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.87191164,-1.4170028,-0.782742,-1.0238855,-0.782742,-0.87191164,0.11131036,-1.0052730677547628,0.4494515
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-1.1831411,-1.1533241,-2.237223,-1.5245628,-1.1533241,-1.1831411,-0.31655407,-1.448218603165693,-0.10310209
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-1.2598808,-1.1563989,-2.3697793,-1.5953531,-1.1563989,-1.2598808,-0.36844927,-1.503251848094047,-0.16800809
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-1.4819112,-1.2477081,-1.0122348,-1.2472848,-1.0122348,-1.2477081,-0.1303693,-1.2371855771273448,0.14292973
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.87977064,-1.331276,-0.4653336,-0.8921268,-0.4653336,-0.87977064,0.26769128,-0.8665869556131469,0.64800024
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.80525565,-1.3868964,-0.4065452,-0.8662324,-0.4065452,-0.80525565,0.3095195,-0.8337678451444145,0.69955873
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-1.4229912,-1.7695689,-0.46439502,-1.2189851,-0.46439502,-1.4229912,0.03913775,-1.1422313631034728,0.3114193
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-1.4836475,-1.4831783,-0.22984314,-1.0655563,-0.22984314,-1.4831783,0.22184873,-0.9902032114496169,0.5313943
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-0.79857075,-0.9141778,-0.33010176,-0.6809501,-0.33010176,-0.79857075,0.4508643,-0.6711876576897085,0.91280735
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-0.7604589,-0.9459286,-0.3282937,-0.6782271,-0.3282937,-0.7604589,0.45484057,-0.667892370353039,0.91806877
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-1.2263682,-0.8398995,-0.7422244,-0.9361641,-0.7422244,-0.8398995,0.1832909,-0.9265236718350494,0.55003214
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-0.8531774,0.31624636,0.13194638,-0.13499488,0.31624636,0.13194638,1.0780946,-0.1199906484348483,1.8313382
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-1.3416597,-0.60120165,-0.36414045,-0.7690006,-0.36414045,-0.60120165,0.40836602,-0.73657028401429,0.8371134
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-0.7952337,-0.42673266,-0.36036536,-0.52744395,-0.36036536,-0.42673266,0.58863926,-0.5224709468728913,1.1222355
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-1.0566291,-0.38773128,-0.69238734,-0.7122493,-0.38773128,-0.69238734,0.42304328,-0.6995740267820207,0.8729805
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-0.93285155,-0.5859879,-0.49802727,-0.6722889,-0.49802727,-0.5859879,0.44321954,-0.6664049248020929,0.9111116
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-1.3135537,-1.2548805,-0.39419195,-0.9875421,-0.39419195,-1.2548805,0.2055476,-0.9503259157126065,0.5481435
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-0.9546752,-0.6849716,-0.6025348,-0.74739385,-0.6025348,-0.6849716,0.36218458,-0.7432795774559255,0.79904675
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,-1.3808968,-0.5766125,-0.6361844,-0.8645646,-0.5766125,-0.6361844,0.29450333,-0.8367059412842098,0.68754154
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0020.jpg,-1.5417693,-0.997898,-0.3588499,-0.9661724,-0.3588499,-0.997898,0.24774632,-0.9167345346572016,0.59999245
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0021.jpg,-0.97584724,-0.9671339,-0.31558147,-0.75285417,-0.31558147,-0.9671339,0.39636293,-0.7370912388911427,0.8269551
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0022.jpg,-1.2770778,-0.92230904,-0.6902304,-0.96320575,-0.6902304,-0.92230904,0.16374284,-0.9502270665118221,0.5209304
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0023.jpg,-0.6970188,-0.82105374,-0.46626863,-0.6614471,-0.46626863,-0.6970188,0.4481251,-0.6580796908027566,0.92046034
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0024.jpg,-1.1667457,-1.1837435,0.07561752,-0.7582905,0.07561752,-1.1667457,0.52830744,-0.7071014246937118,0.9400879
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0025.jpg,-0.8991586,-0.77892,-0.37576208,-0.6846135,-0.37576208,-0.77892,0.43991736,-0.6768030623776549,0.90104055
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0026.jpg,-1.262865,-1.5025098,-0.51214796,-1.0925075,-0.51214796,-1.262865,0.09950185,-1.050785793139883,0.4108783
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0027.jpg,-0.7763083,-0.8912127,-0.44499192,-0.70417094,-0.44499192,-0.7763083,0.4128305,-0.6983599978446396,0.8664385
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0028.jpg,-0.58217204,-1.1180072,-0.41336653,-0.7045152,-0.41336653,-0.58217204,0.43633953,-0.6887714507054192,0.89046264
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0029.jpg,-0.4995493,-0.8281362,-0.35810938,-0.5619316,-0.35810938,-0.4995493,0.5554147,-0.5564565130875782,1.0724635
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0030.jpg,-0.38651532,-0.71220315,-0.35134372,-0.48335406,-0.35134372,-0.38651532,0.627928,-0.48004386047776765,1.1832424
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0031.jpg,-0.4810527,-0.6448244,-0.39045966,-0.5054456,-0.39045966,-0.4810527,0.59863466,-0.5040514994850354,1.1432538
