filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,0.4625883,0.25947455,0.75191164,0.4913248,0.75191164,0.4625883,1.6105331,0.4863381374644622,2.8649814
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,0.19750106,0.43251017,0.8606143,0.49687517,0.8606143,0.43251017,1.6339526,0.4873945196648948,2.888519
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,0.14802599,0.17372414,0.5165628,0.27943766,0.5165628,0.17372414,1.3926556,0.27723534836866226,2.4557788
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,0.20563376,0.32587656,0.48192707,0.33781245,0.48192707,0.32587656,1.4428494,0.33672818121063974,2.5588636
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,0.46798432,1.3908948,0.23930892,0.69939595,1.3908948,0.46798432,1.9294305,0.656149871726099,3.3529494
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,0.1982944,1.2520521,0.41623995,0.6221955,1.2520521,0.41623995,1.8298712,0.5893528852242484,3.1828654
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,0.46317184,1.4216185,0.60584116,0.8302105,1.4216185,0.60584116,2.0236278,0.7944372159603839,3.6035082
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,0.12518513,0.81503546,0.6854001,0.5418736,0.81503546,0.6854001,1.6821641,0.5313302470314967,2.983263
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,0.61350775,1.0693755,0.9063777,0.863087,1.0693755,0.9063777,1.9790406,0.8560065672342991,3.6302042
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,0.77970386,0.80650854,1.0419587,0.87605697,1.0419587,0.80650854,1.9817823,0.873161349555815,3.6512165
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,0.9276842,1.2360598,1.1629043,1.1088828,1.2360598,1.1629043,2.2159245,1.1045637545345046,4.1716113
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,0.62213683,1.2671645,1.147475,1.0122588,1.2671645,1.147475,2.147556,0.9946407825981747,3.9716291
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,0.10814202,0.4537358,1.4439093,0.66859573,1.4439093,0.4537358,1.935227,0.6155181124058393,3.314289
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-0.002838254,0.9290614,0.8205878,0.5822703,0.9290614,0.8205878,1.7580531,0.5616984309473556,3.0946877
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-0.013045728,1.2190298,0.8299726,0.6786523,1.2190298,0.8299726,1.8967496,0.6410622594213631,3.320981
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,0.029186726,1.4415512,0.83439565,0.76837784,1.4415512,0.83439565,2.0229092,0.7131259621546819,3.5277426
