filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,0.1993159,-0.51787156,-0.07410376,-0.13088648,0.1993159,-0.07410376,1.0097556,-0.12750957323356493,1.7637045
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,0.043447137,-0.35581484,-0.53219974,-0.28152248,0.043447137,-0.35581484,0.846863,-0.27799367553773957,1.5082107
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,0.07226217,0.031932443,-1.6565663,-0.5174572,0.07226217,0.031932443,0.8321166,-0.4245803627756132,1.391733
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,0.058834374,0.07688069,-1.7109902,-0.5250917,0.07688069,0.058834374,0.84208405,-0.4236229837002399,1.4012492
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,0.019661784,0.67284536,-2.0289328,-0.44547522,0.67284536,0.019661784,1.1349885,-0.29103191735777556,1.7517002
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,0.098448515,0.7592044,-1.9112878,-0.35121164,0.7592044,0.098448515,1.2202171,-0.22142088882595234,1.883028
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.348292,0.4918097,-1.8157331,-0.5574051,0.4918097,-0.348292,0.91784316,-0.441324856649952,1.441491
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.10719746,0.52655303,-1.8758587,-0.48550105,0.52655303,-0.10719746,1.0096564,-0.3573958160658749,1.588369
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.34983104,0.33750984,-1.6766278,-0.562983,0.33750984,-0.34983104,0.8299762,-0.4690105299436692,1.3505661
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,0.07360375,0.39986357,-1.3859202,-0.30415094,0.39986357,0.07360375,1.0360612,-0.245076161025636,1.698808
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,0.012448907,0.6497742,-1.5486125,-0.29546311,0.6497742,0.012448907,1.1442794,-0.22040992857847075,1.8105264
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-0.1458177,0.5110321,-1.4930304,-0.37593865,0.5110321,-0.1458177,1.0137864,-0.3062026493442006,1.627149
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,0.27690494,0.940588,-0.5288874,0.22953518,0.940588,0.27690494,1.497341,0.21250546316035734,2.495358
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,0.09196305,0.7909701,-1.5604454,-0.22583742,0.7909701,0.09196305,1.2561578,-0.15417551986346978,1.9644924
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-0.31441087,0.5206075,-1.9051595,-0.56632096,0.5206075,-0.31441087,0.94081455,-0.4349232680934569,1.4662663
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-0.45058584,0.3921362,-1.786842,-0.6150972,0.3921362,-0.45058584,0.82631445,-0.5044610633499889,1.3192797
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-0.28445566,0.5740552,-1.6600531,-0.45681787,0.5740552,-0.28445566,0.99989814,-0.36559859726757704,1.5662196
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-0.33504725,0.5517864,-1.6785688,-0.48727655,0.5517864,-0.33504725,0.9701337,-0.39319103045097725,1.5194496
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-0.011774242,0.78359175,-1.230683,-0.15295516,0.78359175,-0.011774242,1.2440709,-0.12071691013980768,1.973187
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,0.30194187,1.0375773,-1.2446535,0.031621892,1.0375773,0.30194187,1.4957974,0.049245186565236354,2.3591678
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0020.jpg,0.06635809,0.7661954,-1.2186643,-0.1287036,0.7661954,0.06635809,1.2572668,-0.09680588956250358,2.0077627
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0021.jpg,-0.36246777,0.34403595,-1.1590552,-0.39249566,0.34403595,-0.36246777,0.88391984,-0.3579441806352268,1.4750301
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0022.jpg,-0.17855877,0.7000437,-1.2854828,-0.25466594,0.7000437,-0.17855877,1.1400206,-0.21375098951314742,1.8025876
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0023.jpg,0.27173507,1.0611033,-1.2830025,0.016611973,1.0611033,0.27173507,1.4993999,0.03661710392524109,2.3501022
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0024.jpg,-0.06362152,0.45172325,-0.4581997,-0.023365995,0.45172325,-0.06362152,1.1447953,-0.02325187918495153,1.9650491
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0025.jpg,-0.21633601,0.7399516,-1.4506594,-0.3090146,0.7399516,-0.21633601,1.142857,-0.2506217631662532,1.7748958
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0026.jpg,-0.1885894,0.5261613,-1.8308742,-0.49776745,0.5261613,-0.1885894,0.98612386,-0.378158507254454,1.549894
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0027.jpg,-0.32141393,0.16892514,-1.8444108,-0.6656332,0.16892514,-0.32141393,0.72623026,-0.5479895959890545,1.2129731
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0028.jpg,-0.47902244,0.21998152,-1.8863869,-0.71514255,0.21998152,-0.47902244,0.7016415,-0.5914385278566637,1.1596152
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0029.jpg,-0.42894772,0.44217053,-1.6169702,-0.53458244,0.44217053,-0.42894772,0.87787175,-0.44902638346773155,1.4007809
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0030.jpg,-0.44811624,0.32461402,-1.6134733,-0.57899183,0.32461402,-0.44811624,0.7981923,-0.49469567437766176,1.3040615
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0031.jpg,-0.5109049,0.32817838,-1.6733631,-0.6186965,0.32817838,-0.5109049,0.77749026,-0.5261100396220245,1.263656
