Filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[max_logit],fusion[mean_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/RoadFullofCars_Fake.mp4,0.08333299999999999,1.0,0.08333299999999999,1.0,0.208333,0.166667,1.0,0.208333,1.0
/Dolphin_Fake.mp4,0.0,0.416667,0.04166700000000001,0.458333,0.0,0.0,0.916667,0.0,1.0
/Tiger_Fake.mp4,0.04166700000000001,0.541667,0.708333,0.833333,0.583333,0.416667,1.0,0.541667,1.0
/Airplane_Fake.mp4,0.125,1.0,0.0,1.0,0.0,0.125,1.0,0.0,1.0
/Cow_Fake.mp4,0.166667,0.958333,0.0,0.958333,0.0,0.166667,1.0,0.0,1.0
/Horse_Fake.mp4,0.625,1.0,0.0,1.0,0.0,0.625,1.0,0.04166700000000001,1.0
/Pilot_Fake.mp4,0.0,0.416667,0.0,0.416667,0.0,0.0,0.75,0.0,0.916667
/River_Fake.mp4,0.458333,0.958333,0.0,0.958333,0.04166700000000001,0.458333,1.0,0.08333299999999999,1.0
/Thunder_Fake.mp4,0.08333299999999999,0.833333,0.0,0.833333,0.0,0.08333299999999999,1.0,0.0,1.0
/Soldier_Fake.mp4,0.25,1.0,0.0,1.0,0.208333,0.25,1.0,0.166667,1.0
/Purse_Fake.mp4,0.791667,1.0,0.0,1.0,0.0,0.791667,1.0,0.416667,1.0
/Rocket_Fake.mp4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
/Bike_Fake.mp4,0.08333299999999999,1.0,0.333333,1.0,0.5,0.416667,1.0,0.5,1.0
/PolarBear_Fake.mp4,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
/TaxiDriver_Fake.mp4,0.0,0.04166700000000001,0.0,0.04166700000000001,0.0,0.0,0.208333,0.0,0.5
/Drone_Fake.mp4,0.04166700000000001,1.0,0.0,1.0,0.0,0.04166700000000001,1.0,0.0,1.0
/Sofa_Fake.mp4,0.0,0.666667,0.0,0.666667,0.0,0.0,0.958333,0.0,0.958333
/Doctor_Fake.mp4,0.0,0.75,0.0,0.75,0.0,0.0,1.0,0.0,1.0
/Mouse_Fake.mp4,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
/Farmer_Fake.mp4,0.0,0.875,0.0,0.875,0.0,0.0,1.0,0.0,1.0
/Crocodile_Fake.mp4,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/Ball_Fake.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.08333299999999999,0.0,0.166667
/Skier_Fake.mp4,0.0,0.166667,0.0,0.166667,0.0,0.0,0.75,0.0,0.916667
/Chef_Fake.mp4,0.08333299999999999,0.666667,0.0,0.666667,0.0,0.08333299999999999,0.958333,0.0,0.958333
/Butterfly_Fake.mp4,0.08333299999999999,0.5,0.0,0.5,0.0,0.08333299999999999,0.958333,0.0,1.0
/Dancer_Fake.mp4,0.166667,1.0,0.0,1.0,0.166667,0.166667,1.0,0.166667,1.0
/Tractor_Fake.mp4,0.0,0.541667,0.0,0.541667,0.0,0.0,1.0,0.0,1.0
/TV_Fake.mp4,0.458333,1.0,0.0,1.0,0.625,0.458333,1.0,0.583333,1.0
/Shore_Fake.mp4,0.25,0.791667,0.0,0.791667,0.04166700000000001,0.25,0.958333,0.04166700000000001,1.0
/Car_Fake.mp4,0.166667,0.458333,0.0,0.458333,0.0,0.166667,0.708333,0.0,0.958333
Average,0.1402777666666667,0.7194445,0.0722222,0.7305555666666667,0.11249999999999999,0.1916667,0.9083332666666666,0.12500003333333332,0.9458333333333333
