Filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[max_logit],fusion[mean_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Ball_Fake.mp4,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
/Bike_Fake.mp4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/Car_Fake.mp4,0.6875,1.0,0.0,1.0,0.0,0.6875,1.0,0.0,1.0
/Cow_Fake.mp4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/Dancer_Fake.mp4,0.0625,1.0,0.0,1.0,0.3125,0.0625,1.0,0.3125,1.0
/Horse_Fake.mp4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/Panda_Fake.mp4,0.1875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/Purse_Fake.mp4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/Skier_Fake.mp4,0.0,0.0,1.0,1.0,0.3125,0.0,1.0,0.125,1.0
/Sofa_Fake.mp4,0.0625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/Thunder_Fake.mp4,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/TV_Fake.mp4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Average,0.4114583333333333,0.9166666666666666,0.75,1.0,0.71875,0.7291666666666666,1.0,0.703125,1.0
