filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,0.46476293,-0.2889076,0.12771721,0.10119084,0.46476293,0.12771721,1.2461555,0.0991488583698712,2.161425
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,0.10587406,0.09951213,-0.5087866,-0.10113347,0.10587406,0.09951213,1.0358636,-0.09770542505518498,1.8109643
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.7360766,-0.7179544,-1.0384276,-0.83081955,-0.7179544,-0.7360766,0.27819932,-0.8264956228997877,0.6827526
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-0.6851347,-0.38380182,-1.254188,-0.7743748,-0.38380182,-0.6851347,0.38566792,-0.7502467037679951,0.8109783
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.61101604,-0.49950793,-1.3063596,-0.8056278,-0.49950793,-0.61101604,0.3509613,-0.780586645956003,0.7656269
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.3685004,-0.77903354,-1.13772,-0.76175135,-0.3685004,-0.77903354,0.3860575,-0.7443349707395113,0.81499577
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.35397708,-0.64069986,-1.1274314,-0.7073695,-0.35397708,-0.64069986,0.43998158,-0.6899356614430852,0.8921083
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.6009675,-0.16434734,-1.1708525,-0.64538914,-0.16434734,-0.6009675,0.5346382,-0.6192903734440436,1.0113837
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.7355014,-0.33789426,-1.0302713,-0.70122236,-0.33789426,-0.7355014,0.43789744,-0.6881394271278738,0.8915585
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-0.8749329,-0.21455802,-0.9409286,-0.67680645,-0.21455802,-0.8749329,0.47874856,-0.6610563814646853,0.9397429
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-0.7971302,0.008708209,-0.9764262,-0.58828276,0.008708209,-0.7971302,0.6076009,-0.566090374323826,1.1024294
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-0.58370125,-0.31272048,-0.87541604,-0.5906126,-0.31272048,-0.58370125,0.5341355,-0.5830970578728848,1.0371801
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,0.08722949,0.23667094,0.084857106,0.13625251,0.23667094,0.08722949,1.2374268,0.13606058110855257,2.1861863
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-0.3301326,-0.39214444,-0.67554235,-0.4659398,-0.3301326,-0.39214444,0.64359725,-0.46322034248480776,1.207675
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-0.24746573,-0.28990525,-0.7136543,-0.4170084,-0.24746573,-0.28990525,0.7025837,-0.41204387576774126,1.2915695
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-0.58608663,0.019938767,-0.72145313,-0.42920032,0.019938767,-0.58608663,0.7240086,-0.4199434266139057,1.3009118
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-0.46386477,-0.32456428,-0.8171854,-0.5352048,-0.32456428,-0.46386477,0.5840931,-0.5293655942226738,1.1137286
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,0.063960314,0.18913016,-0.6809593,-0.14262293,0.18913016,0.063960314,1.0225874,-0.13463789723084418,1.7700837
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-0.6496406,0.10962126,-0.71281904,-0.4176128,0.10962126,-0.6496406,0.75534654,-0.40626429254899143,1.3349664
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,-0.6548966,-0.13754785,-0.71957856,-0.50400764,-0.13754785,-0.6548966,0.6301786,-0.49657176953950244,1.172017
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0020.jpg,-0.672727,-0.24544165,-0.87978375,-0.5993175,-0.24544165,-0.672727,0.53505766,-0.589781837604362,1.032732
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0021.jpg,-0.4004414,0.17152467,-0.76829255,-0.3324031,0.17152467,-0.4004414,0.8419732,-0.321636240477176,1.4693924
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0022.jpg,-0.3314966,0.3061675,-0.703169,-0.2428327,0.3061675,-0.3314966,0.9443232,-0.2344872412778951,1.6206496
