filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,0.09709048,-0.45460027,-0.27072826,-0.2094127,0.09709048,-0.27072826,0.9160849,-0.2070706682028518,1.6208128
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.46172148,-0.56065595,-0.23016784,-0.41751513,-0.23016784,-0.46172148,0.69086087,-0.41563663966814124,1.2795575
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.74594015,-0.44602048,-0.41848654,-0.5368157,-0.41848654,-0.44602048,0.5723915,-0.5338002742129739,1.1017026
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-0.7446878,-0.5244156,-0.3747388,-0.5479474,-0.3747388,-0.5244156,0.56204283,-0.5448264081896084,1.0858489
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.5430652,-0.44784907,-0.38132754,-0.4574139,-0.38132754,-0.44784907,0.6433896,-0.45691500616842223,1.2122017
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.4276346,-0.535402,-0.49332026,-0.4854523,-0.4276346,-0.49332026,0.6141468,-0.48521991118034596,1.1689144
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.34990597,-0.36366147,-0.47872043,-0.39742932,-0.34990597,-0.36366147,0.7028284,-0.39709293489497166,1.3029693
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.22615671,-0.08956981,-0.34187555,-0.21920069,-0.08956981,-0.22615671,0.8847399,-0.21863079694900456,1.5863564
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.36536902,-0.07122472,-0.58003247,-0.3388754,-0.07122472,-0.36536902,0.78164935,-0.3353931389822663,1.4117267
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-0.202084,-0.15583003,-0.71455073,-0.35748824,-0.15583003,-0.202084,0.77109975,-0.351074810994798,1.3918029
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-0.07141054,-0.22984809,-0.71087486,-0.33737782,-0.07141054,-0.22984809,0.7961316,-0.33050925561260647,1.4274321
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-0.060358286,-0.08799103,-0.67791516,-0.2754215,-0.060358286,-0.08799103,0.86072326,-0.2687280079273964,1.5276926
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,0.5193895,-0.18403344,-0.18172924,0.05120894,0.5193895,-0.18172924,1.2079856,0.04776690847769882,2.0802615
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-0.32005918,-0.008530974,-1.2618515,-0.53014725,-0.008530974,-0.32005918,0.6935174,-0.49070309653830446,1.2269529
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-0.35415137,0.22066364,-1.6850682,-0.6061853,0.22066364,-0.35415137,0.7580471,-0.5126112990210712,1.2620763
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-0.24542367,0.25998363,-1.8827027,-0.6227142,0.25998363,-0.24542367,0.8026562,-0.4956914368156275,1.3129057
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-0.21821022,0.232541,-1.910967,-0.6322121,0.232541,-0.21821022,0.7946634,-0.5003010134895173,1.3039461
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-0.22113967,0.39964738,-2.0104012,-0.61063117,0.39964738,-0.22113967,0.8865894,-0.459016679509932,1.4084178
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-0.44574153,0.23897156,-1.5151544,-0.5739748,0.23897156,-0.44574153,0.756153,-0.5037065143342374,1.2646428
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,-0.5154579,0.34682527,-1.4242021,-0.5309449,0.34682527,-0.5154579,0.8120394,-0.4701163460853026,1.3310206
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0020.jpg,-0.6159316,0.2985039,-1.0717415,-0.46305636,0.2985039,-0.6159316,0.8021765,-0.43352321890062534,1.3491524
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0021.jpg,-0.8926816,-0.030495197,-1.2500972,-0.72442466,-0.030495197,-0.8926816,0.5104244,-0.6847337096943678,0.9447843
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0022.jpg,-0.8389828,0.093663365,-1.1837226,-0.643014,0.093663365,-0.8389828,0.607849,-0.6051028127202704,1.0732399
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0023.jpg,-0.87714124,-0.15804937,-1.1773262,-0.7375056,-0.15804937,-0.87714124,0.45608184,-0.7083757284757652,0.88940585
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0024.jpg,0.4364891,-0.28201064,-0.3214673,-0.05566295,0.4364891,-0.28201064,1.107445,-0.05641346476153131,1.903402
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0025.jpg,-0.47101837,-0.16807273,-1.3921449,-0.6770787,-0.16807273,-0.47101837,0.5412773,-0.6314856534626716,1.0088394
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0026.jpg,-0.7702898,-0.04398051,-1.7783304,-0.8642003,-0.04398051,-0.7702898,0.46296105,-0.7692371747838451,0.85288244
