filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,0.2805575,0.05937043,1.4927351,0.6108877,1.4927351,0.2805575,1.9219518,0.5479932052169745,3.2229178
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,0.31892884,0.23732701,1.5506175,0.7022911,1.5506175,0.31892884,1.9957731,0.6383200234909947,3.3940725
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.14419502,0.050837666,0.07861084,-0.0049155056,0.07861084,0.050837666,1.0984969,-0.00484959806922991,1.941702
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-0.3304621,0.11046788,-0.9523851,-0.3907931,0.11046788,-0.3304621,0.7980529,-0.3720704166131187,1.3966146
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.28820002,0.0223023,-1.012011,-0.4259696,0.0223023,-0.28820002,0.7587719,-0.40462296519747576,1.341545
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.48040587,0.29667655,-1.5537854,-0.5791716,0.29667655,-0.48040587,0.7771934,-0.5032576223057387,1.2805831
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.1885851,0.3422931,-1.7450713,-0.53045446,0.3422931,-0.1885851,0.8800149,-0.4243758815110582,1.4282194
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.7045721,0.10096833,-1.5129411,-0.7055149,0.10096833,-0.7045721,0.59928846,-0.6388445515716824,1.0440326
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.32008725,0.5728482,-1.2804965,-0.3425785,0.5728482,-0.32008725,1.0214777,-0.29881674432305605,1.6326206
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-0.66266084,0.41215703,-1.8099875,-0.68683046,0.41215703,-0.66266084,0.7835387,-0.5719127547483165,1.2315392
