filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.8358032,-1.7703881,-0.11726721,-0.9078195,-0.11726721,-0.8358032,0.4008817,-0.8178978924383883,0.77453583
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.9254234,-1.1609294,-3.0440087,-1.7101206,-0.9254234,-1.1609294,-0.2781251,-1.4547182730757267,-0.08222866
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-1.3941755,-0.86474425,-3.6569755,-1.9719652,-0.86474425,-1.3941755,-0.36383307,-1.561598618448251,-0.19913536
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-1.1090076,-1.7143879,-2.143261,-1.6555523,-1.1090076,-1.7143879,-0.466439,-1.5960242048753763,-0.2831508
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-1.1106359,-1.6282457,-2.3077092,-1.682197,-1.1106359,-1.6282457,-0.46982455,-1.603904859947232,-0.28971153
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-1.216951,-1.6120119,-2.338462,-1.722475,-1.216951,-1.6120119,-0.5240908,-1.6513736531395062,-0.3500088
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-1.2671711,-1.5828148,-2.6109893,-1.8203253,-1.2671711,-1.5828148,-0.57895255,-1.7123599737344983,-0.4180075
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-1.2408295,-1.505617,-2.5988655,-1.7817707,-1.2408295,-1.505617,-0.5354897,-1.670450481247487,-0.3677256
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-1.2720184,-1.5878959,-2.7807286,-1.8802143,-1.2720184,-1.5878959,-0.6040127,-1.7425537444268078,-0.45023024
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-1.2841682,-1.6481473,-2.704385,-1.8789002,-1.2841682,-1.6481473,-0.62325126,-1.7585499132603932,-0.4709048
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-1.3334957,-1.6054021,-2.7069612,-1.8819529,-1.3334957,-1.6054021,-0.6328004,-1.7653265073735689,-0.4803775
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-1.3201482,-1.6235011,-2.7297988,-1.8911494,-1.3201482,-1.6235011,-0.6357557,-1.7696597383247479,-0.48461887
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-0.90598536,-1.9688268,-1.5762955,-1.4837025,-0.90598536,-1.5762955,-0.2870108,-1.4249551687354032,-0.071481526
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-0.99709535,-1.7908078,-1.7897434,-1.5258822,-0.99709535,-1.7897434,-0.35271436,-1.4815267193131967,-0.14608622
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-1.1080188,-1.7666166,-1.8372003,-1.5706118,-1.1080188,-1.7666166,-0.41493154,-1.5354643994020298,-0.21614242
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-1.1202848,-1.754879,-1.86088,-1.5786813,-1.1202848,-1.754879,-0.42365348,-1.5437053483456273,-0.22632223
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-1.096451,-1.779921,-1.8320891,-1.5694871,-1.096451,-1.779921,-0.41130495,-1.532903106529381,-0.21243262
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-1.0303757,-1.8429475,-1.889159,-1.587494,-1.0303757,-1.8429475,-0.40583253,-1.5366813468164104,-0.21148896
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-1.0032394,-1.782547,-1.9348912,-1.5735592,-1.0032394,-1.782547,-0.38663524,-1.5197293908937575,-0.18972164
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,-1.0223289,-1.8129566,-1.8921356,-1.575807,-1.0223289,-1.8129566,-0.39500505,-1.5257334896920165,-0.1983794
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0020.jpg,-1.0738659,-1.7974265,-1.9039745,-1.5917555,-1.0738659,-1.7974265,-0.42100745,-1.5471552835301703,-0.22685254
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0021.jpg,-1.2065266,-1.8281826,-2.0348198,-1.689843,-1.2065266,-1.8281826,-0.5265414,-1.6474384324429485,-0.34936714
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0022.jpg,-1.1292372,-1.7419133,-2.1127748,-1.6613084,-1.1292372,-1.7419133,-0.4790578,-1.6064808905624897,-0.2969073
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0023.jpg,-1.0972141,-1.7239048,-2.1127832,-1.6446339,-1.0972141,-1.7239048,-0.4571758,-1.5868287123657312,-0.27216548
