filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.9204361,-1.1262177,-7.9311824,-3.3259456,-0.9204361,-1.1262177,-0.32439852,-1.5388946630398235,-0.15965891
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.98791397,-0.71558714,-13.166281,-4.956594,-0.71558714,-0.98791397,-0.14935946,-1.3869369452061198,0.042395055
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-1.2166836,-0.8217868,-14.288226,-5.442232,-0.8217868,-1.2166836,-0.3067196,-1.530171704894006,-0.14377207
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-1.2383692,-0.7722099,-14.772972,-5.5945168,-0.7722099,-1.2383692,-0.28522122,-1.514718665725916,-0.121310115
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-1.2893039,-0.77950114,-15.083081,-5.717295,-0.77950114,-1.2893039,-0.30911338,-1.5381837533579588,-0.15031779
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-1.2998912,-0.86249506,-15.028864,-5.730417,-0.86249506,-1.2998912,-0.36431932,-1.5832622062561543,-0.21106708
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-1.4142805,-1.0082637,-15.172362,-5.864969,-1.0082637,-1.4142805,-0.49765825,-1.7013174594492857,-0.36147434
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-1.4468987,-1.0014968,-15.17237,-5.8735886,-1.0014968,-1.4468987,-0.5064545,-1.710936583338895,-0.37242603
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-1.338906,-1.0811033,-15.478874,-5.966295,-1.0811033,-1.338906,-0.50857234,-1.706159610391206,-0.37066603
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-1.4126999,-0.9881052,-15.314563,-5.9051228,-0.9881052,-1.4126999,-0.48488712,-1.6905886870027873,-0.347557
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-1.3128921,-0.78506094,-15.260889,-5.786281,-0.78506094,-1.3128921,-0.32140023,-1.5500579941662167,-0.1650626
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-1.1837683,-0.5137607,-15.207091,-5.634874,-0.5137607,-1.1837683,-0.10052252,-1.3682917926035154,0.08388215
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-0.52591014,-0.3041038,-14.937752,-5.255922,-0.3041038,-0.52591014,0.28427768,-1.0183851949803975,0.56806326
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-0.7869307,-0.34599277,-15.604164,-5.579029,-0.34599277,-0.7869307,0.15079448,-1.139597691835176,0.39531255
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-0.91216135,-0.43101293,-15.55756,-5.633578,-0.43101293,-0.91216135,0.05022329,-1.2263885639647203,0.27195036
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-1.0467206,-0.58620024,-14.97361,-5.5355105,-0.58620024,-1.0467206,-0.09703404,-1.3505064534937896,0.097928226
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-1.1283487,-0.53639275,-14.805329,-5.490023,-0.53639275,-1.1283487,-0.09604663,-1.3584163175239452,0.09318215
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-0.9095736,-0.9306197,-15.238193,-5.6927953,-0.9095736,-0.9306197,-0.22689378,-1.4502563510937323,-0.045214534
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-1.1436887,-1.0853821,-15.002563,-5.743878,-1.0853821,-1.1436887,-0.42096287,-1.6235855683234306,-0.269131
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,-1.0982774,-0.9927815,-14.754283,-5.615114,-0.9927815,-1.0982774,-0.35099125,-1.561193924476035,-0.18928999
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0020.jpg,-1.0844159,-1.0690863,-14.994227,-5.71591,-1.0690863,-1.0844159,-0.38357407,-1.5897708410465938,-0.22627503
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0021.jpg,-0.9011311,-0.94728804,-15.0326,-5.6270065,-0.9011311,-0.94728804,-0.23079568,-1.4538072043403505,-0.049833477
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0022.jpg,-0.90134597,-0.93458307,-15.182175,-5.6727014,-0.90134597,-0.93458307,-0.22467893,-1.4483430779809887,-0.042659044
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0023.jpg,-0.69510025,-0.75269496,-14.733923,-5.393906,-0.69510025,-0.75269496,-0.030335426,-1.279053295366224,0.18665266
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0024.jpg,-0.84530306,-1.2192037,-14.105949,-5.390152,-0.84530306,-1.2192037,-0.3217308,-1.542545909050138,-0.160433
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0025.jpg,-1.0567039,-0.9597323,-14.960403,-5.6589465,-0.9597323,-1.0567039,-0.31389546,-1.5279714970851288,-0.14650136
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0026.jpg,-1.3334152,-1.0475689,-14.972216,-5.7843995,-1.0475689,-1.3334152,-0.48716545,-1.6875687099757593,-0.34697193
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0027.jpg,-1.2748954,-0.9793993,-14.726868,-5.6603875,-0.9793993,-1.2748954,-0.4231243,-1.6301443364740715,-0.274509
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0028.jpg,-1.1645963,-0.9792881,-14.941434,-5.695106,-0.9792881,-1.1645963,-0.37450832,-1.5835816059099357,-0.21712893
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0029.jpg,-1.2308462,-1.0585324,-14.782739,-5.690706,-1.0585324,-1.2308462,-0.4478346,-1.649267860232841,-0.30064577
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0030.jpg,-1.2233812,-0.87193406,-14.6785965,-5.5913043,-0.87193406,-1.2233812,-0.3391493,-1.5570885530684613,-0.17983526
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0031.jpg,-1.1208657,-0.8688318,-15.231223,-5.740307,-0.8688318,-1.1208657,-0.29378206,-1.513305150184105,-0.12536377
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0032.jpg,-1.054797,-0.88757926,-15.317734,-5.7533703,-0.88757926,-1.054797,-0.27454942,-1.4941146746673954,-0.10172558
