filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.5198854,-1.9850346,-0.2047328,-0.9032176,-0.2047328,-0.5198854,0.43620738,-0.7804681830389165,0.8292172
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.836019,-1.4929136,-1.2419121,-1.1902815,-0.836019,-1.2419121,-0.05447626,-1.1711121763998318,0.23317868
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-1.2044847,-1.1295033,-3.4677384,-1.9339088,-1.1295033,-1.2044847,-0.42429984,-1.5970679410202877,-0.25671375
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-1.4378139,-1.2881951,-4.437552,-2.3878536,-1.2881951,-1.4378139,-0.64428234,-1.8160398088521381,-0.5152315
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-1.5789121,-1.0190419,-4.726998,-2.4416506,-1.0190419,-1.5789121,-0.55166006,-1.7478941178719134,-0.4214446
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-1.5902063,-1.2630036,-3.9215298,-2.2582467,-1.2630036,-1.5902063,-0.6802356,-1.8454101282961646,-0.5534887
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-1.5698394,-1.1167917,-3.55853,-2.0817204,-1.1167917,-1.5698394,-0.57290053,-1.7436804500757757,-0.43203592
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-1.5222235,-0.93286943,-3.327605,-1.9275659,-0.93286943,-1.5222235,-0.43459284,-1.618794762107581,-0.2765323
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-1.585017,-0.90760064,-2.947484,-1.8133672,-0.90760064,-1.585017,-0.414142,-1.5917041609290645,-0.24863464
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-1.6536098,-0.91789925,-2.910661,-1.8273901,-0.91789925,-1.6536098,-0.43826503,-1.6151201515882045,-0.27721238
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-1.4728788,-0.92687523,-2.6795344,-1.6930962,-0.92687523,-1.4728788,-0.3657905,-1.529372961914543,-0.18213564
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-1.3529704,-0.7189309,-2.2739346,-1.4486119,-0.7189309,-1.3529704,-0.1641075,-1.3323384917102956,0.062316775
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-0.9487575,-1.4165422,0.5812016,-0.5946994,0.5812016,-0.9487575,0.8829237,-0.5240988091688265,1.3365735
