filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.42214498,-1.1191453,0.05482435,-0.49548864,0.05482435,-0.42214498,0.7122401,-0.4671457061984932,1.2574313
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.4977517,-0.20214537,-1.6285907,-0.7761626,-0.20214537,-0.4977517,0.48309126,-0.7055814708406858,0.9141786
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.23504972,-0.09641248,-4.156121,-1.495861,-0.09641248,-0.23504972,0.5389985,-0.7956837201836837,0.90422815
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-0.4448766,-0.17136148,-4.2845035,-1.6335806,-0.17136148,-0.4448766,0.4035972,-0.9092877099048948,0.72515744
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.17371327,0.38732252,-3.406768,-1.0643862,0.38732252,-0.17371327,0.85301757,-0.5689996424459531,1.3090323
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.16277063,0.5925096,-3.171703,-0.91398805,0.5925096,-0.16277063,0.9933405,-0.4844829584603985,1.4845564
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.2053634,0.5337473,-2.4178262,-0.69648075,0.5337473,-0.2053634,0.9588816,-0.4599136366668947,1.4692087
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.91054034,-0.23572177,-2.284107,-1.1434563,-0.23572177,-0.91054034,0.25787124,-0.9766381798565575,0.56861746
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-1.1018918,-0.9410504,-2.1307366,-1.3912262,-0.9410504,-1.1018918,-0.17291456,-1.3124750645784684,0.069566846
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-1.7726953,-1.0655316,-1.5622313,-1.4668194,-1.0655316,-1.5622313,-0.3228439,-1.439673129440757,-0.10231507
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-1.5605907,-0.4233999,-1.5070535,-1.1636814,-0.4233999,-1.5070535,0.08286086,-1.0974726230538017,0.36879557
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-0.59457797,0.2887946,-1.7055973,-0.6704602,0.2887946,-0.59457797,0.72671574,-0.5738860230471416,1.188257
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-0.36397177,-0.64753604,-0.0027717985,-0.3380932,-0.0027717985,-0.36397177,0.79546756,-0.3325642236994951,1.4247173
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-0.91682905,-0.6329907,-1.3024235,-0.9507477,-0.6329907,-0.91682905,0.18453431,-0.9342422006316866,0.5456408
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-0.4125921,0.30859908,-2.0033076,-0.7024335,0.30859908,-0.4125921,0.76933813,-0.5556119643257874,1.2395545
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,0.10788226,0.65688777,-2.030005,-0.42174497,0.65688777,0.10788226,1.1550026,-0.2661007898346043,1.7924787
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-0.82175153,-0.25223783,-1.5441107,-0.87270004,-0.25223783,-0.82175153,0.35782996,-0.8179402466117147,0.7441152
