filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.6143859,-1.0452964,-1.690126,-1.1166028,-0.6143859,-1.0452964,0.07423222,-1.0687054541807222,0.38323414
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.8181462,-0.8748838,-4.141947,-1.9449922,-0.8181462,-0.8748838,-0.1346162,-1.353207083012045,0.07192403
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.85538507,-0.9273472,-5.206858,-2.3298635,-0.85538507,-0.9273472,-0.19091827,-1.4131425201873895,-0.00020384789
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-1.1218665,-1.0067018,-5.255143,-2.4612372,-1.0067018,-1.1218665,-0.36195427,-1.5657146160245934,-0.19899881
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-1.1061044,-0.8727851,-5.1028743,-2.3605878,-0.8727851,-1.1061044,-0.2814206,-1.495449803582902,-0.10722339
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-1.0507803,-0.72031355,-4.9979234,-2.256339,-0.72031355,-1.0507803,-0.17076886,-1.4007194074442102,0.01976192
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-1.2507333,-0.9180516,-5.147595,-2.4387932,-0.9180516,-1.2507333,-0.36903036,-1.5768925627301638,-0.21026301
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-1.5247765,-0.9973688,-4.6286874,-2.383611,-0.9973688,-1.5247765,-0.5170349,-1.714117041103666,-0.38113415
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-1.4703064,-1.0642041,-4.4850583,-2.3398564,-1.0642041,-1.4703064,-0.53420746,-1.7227460541732267,-0.39629143
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-1.3577111,-1.0041921,-4.455729,-2.2725441,-1.0041921,-1.3577111,-0.45381343,-1.6478255989388966,-0.30411327
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-1.2920709,-1.0025468,-4.2596297,-2.1847491,-1.0025468,-1.2920709,-0.42194122,-1.6145485317163848,-0.26518846
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-1.2940979,-1.0608811,-4.61533,-2.3234365,-1.0608811,-1.2940979,-0.4617266,-1.6530215409106281,-0.3117429
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-0.5640145,-1.17453,-1.9877077,-1.242084,-0.5640145,-1.17453,0.014784038,-1.1542228520641644,0.2889545
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-1.2253877,-1.1384355,-4.8746066,-2.41281,-1.1384355,-1.2253877,-0.47545576,-1.6652447632631961,-0.32701975
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-1.393282,-1.1288077,-4.9940825,-2.505391,-1.1288077,-1.393282,-0.5473932,-1.7346066584251612,-0.41072935
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-0.99860483,-1.2495553,-5.2025843,-2.4835815,-0.99860483,-1.2495553,-0.41471636,-1.6155339508293844,-0.26096725
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-1.3166125,-1.2073102,-5.04012,-2.5213478,-1.2073102,-1.3166125,-0.5559709,-1.7398626960036776,-0.41877997
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-1.3694386,-1.2586758,-5.080575,-2.5695632,-1.2586758,-1.3694386,-0.60789484,-1.7876304841828148,-0.47722098
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-1.3097672,-1.3666648,-5.183125,-2.6198523,-1.3097672,-1.3666648,-0.63403106,-1.811794517736797,-0.5065216
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,-1.1541306,-1.1657563,-4.609197,-2.3096945,-1.1541306,-1.1657563,-0.45101988,-1.6404294207317034,-0.29775017
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0020.jpg,-1.0008284,-0.82598066,-4.612388,-2.146399,-0.82598066,-1.0008284,-0.20418888,-1.421872324125412,-0.014273286
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0021.jpg,-1.0624081,-0.84955025,-4.6653457,-2.1924345,-0.84955025,-1.0624081,-0.2450751,-1.4593399458736354,-0.06282413
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0022.jpg,-0.77834976,-0.6697643,-4.5321097,-1.9934078,-0.6697643,-0.77834976,-0.018418372,-1.2581670832296572,0.20680076
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0023.jpg,-0.8215757,-0.78422534,-4.6780415,-2.0946143,-0.78422534,-0.8215757,-0.09925848,-1.3288463377379789,0.11014134
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0024.jpg,-0.46470034,-0.820927,-2.0691664,-1.1182646,-0.46470034,-0.820927,0.17784315,-1.00552716046583,0.49527788
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0025.jpg,-0.9696753,-0.7152271,-5.2108073,-2.29857,-0.7152271,-0.9696753,-0.13496739,-1.3680243098244405,0.062934935
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0026.jpg,-1.0594015,-0.7325641,-5.4553995,-2.4157884,-0.7325641,-1.0594015,-0.18439019,-1.4150609695795582,0.0024878979
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0027.jpg,-1.2309467,-0.8250421,-5.2630525,-2.4396803,-0.8250421,-1.2309467,-0.3073244,-1.5257184684353877,-0.14176714
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0028.jpg,-1.3635243,-0.7721325,-5.2391458,-2.4582675,-0.7721325,-1.3635243,-0.3242226,-1.5506831091522355,-0.16760147
