filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,0.01789844,0.54725325,0.70268774,0.42261314,0.70268774,0.54725325,1.5614508,0.4148572570179969,2.748833
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.21166581,0.96180797,-1.5757451,-0.275201,0.96180797,-0.21166581,1.2899241,-0.2112315108586461,1.9309982
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.24377799,1.5308477,-2.661063,-0.45799777,1.5308477,-0.24377799,1.7003071,-0.23197304508077332,2.2750702
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,0.057331443,1.8042765,-2.4765267,-0.20497294,1.8042765,0.057331443,1.9766631,-0.06600000399735684,2.6941493
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.2719702,1.365785,-2.0448258,-0.31700364,1.365785,-0.2719702,1.5707132,-0.2091618561926658,2.1733599
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.21398407,1.6722507,-1.6694154,-0.07038287,1.6722507,-0.21398407,1.8436965,-0.07058269159681052,2.5323408
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.20699042,1.6587992,-1.2765763,0.058410805,1.6587992,-0.20699042,1.8476698,0.00886237791046307,2.6026704
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.4480337,1.7057128,-1.2777438,-0.006688237,1.7057128,-0.4480337,1.859863,-0.06129610383879114,2.536266
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.69944715,1.6019204,-0.9388637,-0.012130161,1.6019204,-0.69944715,1.7665246,-0.07289706902973558,2.434969
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-0.39415228,1.7768383,-0.71821827,0.22148925,1.7768383,-0.39415228,1.9562861,0.11453791545553593,2.7858274
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,0.09309244,2.1974783,-0.61667514,0.5579652,2.1974783,0.09309244,2.3645813,0.3692275933390732,3.443756
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-0.18816018,2.1220973,-1.0755117,0.28614178,2.1220973,-0.18816018,2.2532094,0.13418374159971413,3.0876224
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-0.3449657,1.620784,0.31515324,0.53032386,1.620784,0.31515324,1.96512,0.44401992161362713,3.158152
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-0.35025573,1.9221511,-2.5370157,-0.32170677,1.9221511,-0.35025573,2.0306787,-0.1885537346843067,2.5961802
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,0.047646046,2.3480754,-1.9002742,0.1651491,2.3480754,0.047646046,2.4564846,0.0730562527049412,3.2582033
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-0.021245778,2.1641042,-1.8652285,0.09254333,2.1641042,-0.021245778,2.2865205,0.03435393850890267,3.0532627
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-0.200445,1.8547659,-1.5241085,0.043404143,1.8547659,-0.200445,2.005039,-0.008534900381257149,2.7320998
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-0.5976846,1.6818902,-1.1864271,-0.03407383,1.6818902,-0.5976846,1.8295531,-0.09082660045782809,2.4765573
