filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,0.12883413,-0.11263907,-0.67632616,-0.2200437,0.12883413,-0.11263907,0.93195,-0.2126432190829014,1.6302752
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.13606727,0.66861916,-2.2283094,-0.5652525,0.66861916,-0.13606727,1.0756967,-0.3715958164894789,1.6337359
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,0.021490514,0.86179876,-2.4063568,-0.5076892,0.86179876,0.021490514,1.2468258,-0.28035799472659173,1.8596787
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,0.17545426,0.89846826,-1.8536668,-0.25991476,0.89846826,0.17545426,1.3361288,-0.14715977857313034,2.0491233
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.13320869,0.70256305,-1.9071256,-0.44592372,0.70256305,-0.13320869,1.1127484,-0.3161991450380619,1.7051251
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,0.07230079,1.1444793,-1.9517097,-0.24497657,1.1444793,0.07230079,1.4719708,-0.13227853441797155,2.1761627
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.10618013,0.7321496,-2.2459605,-0.53999704,0.7321496,-0.10618013,1.1264331,-0.34408143956324244,1.6988815
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,0.028403759,1.1426152,-2.1692905,-0.3327572,1.1426152,0.028403759,1.4534917,-0.17672207830932574,2.12197
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.38468587,0.6288924,-2.2296517,-0.66181505,0.6288924,-0.38468587,0.97973955,-0.4692875367313314,1.4707848
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-0.22169048,0.78746736,-1.6163198,-0.35018095,0.78746736,-0.22169048,1.1624051,-0.27124629979434933,1.7756068
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,0.15167499,0.75484514,-2.008802,-0.36742726,0.75484514,0.15167499,1.2311637,-0.21905641880600146,1.8982961
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,0.5038372,1.2910268,-1.7520338,0.014276743,1.2910268,0.5038372,1.698364,0.07399699120853731,2.5986137
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,0.04840195,1.4047072,-1.0241446,0.14298816,1.4047072,0.04840195,1.7016578,0.10576342490508839,2.5752885
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-0.2823438,1.0339696,-2.9648855,-0.7377532,1.0339696,-0.2823438,1.2858628,-0.38245920151734214,1.7969913
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-0.4969814,0.8740928,-2.8850071,-0.8359652,0.8740928,-0.4969814,1.118715,-0.49415379498011025,1.5619836
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,0.31141174,1.4894351,-2.3970635,-0.19873889,1.4894351,0.31141174,1.7734132,-0.031175674455702684,2.5668168
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,0.14632237,1.2800232,-2.398812,-0.32415548,1.2800232,0.14632237,1.5779717,-0.13054159320482306,2.284272
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,0.31998646,1.0848212,-1.7544302,-0.11654083,1.0848212,0.31998646,1.5060811,-0.03438265765944737,2.3064654
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,0.26844895,1.1646445,-2.2655427,-0.2774831,1.1646445,0.26844895,1.529635,-0.10288409492234352,2.2733026
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,-0.35000807,0.9252536,-1.8271507,-0.41730174,0.9252536,-0.35000807,1.220258,-0.31174050856825775,1.7868726
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0020.jpg,-0.6742296,0.26150408,-2.1587095,-0.857145,0.26150408,-0.6742296,0.6543571,-0.6840462167133383,1.054661
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0021.jpg,0.67054665,1.3062763,-2.0174065,-0.01352783,1.3062763,0.67054665,1.7545255,0.08792642108663185,2.688653
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0022.jpg,0.72893643,1.7345145,-2.3439348,0.039838713,1.7345145,0.72893643,2.058601,0.14975903677909397,3.0657146
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0023.jpg,0.098988295,0.9356079,-2.1892824,-0.3848954,0.9356079,0.098988295,1.3256981,-0.20921902014444427,1.9882913
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0024.jpg,0.20706403,1.3234646,-1.0416334,0.1629651,1.3234646,0.20706403,1.6751045,0.1364436710385808,2.591524
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0025.jpg,-0.062505245,1.0617299,-2.7291358,-0.576637,1.0617299,-0.062505245,1.3599639,-0.28365255393178124,1.951549
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0026.jpg,0.033421278,1.604986,-2.7243316,-0.3619748,1.604986,0.033421278,1.8045714,-0.1300210137973613,2.4812527
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0027.jpg,-0.34540856,1.2878091,-2.8080046,-0.621868,1.2878091,-0.34540856,1.4800334,-0.32939205408827166,1.9981508
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0028.jpg,-0.3941071,1.0971619,-2.477393,-0.59144604,1.0971619,-0.3941071,1.3227941,-0.3640822030251235,1.8328276
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0029.jpg,-0.8759849,0.4807764,-2.375263,-0.9234905,0.4807764,-0.8759849,0.75460505,-0.697620186214133,1.1158185
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0030.jpg,-0.115786195,1.5309792,-3.1044648,-0.5630906,1.5309792,-0.115786195,1.7152771,-0.2193300017643015,2.3132694
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0031.jpg,-0.20702618,1.2071114,-2.598232,-0.5327156,1.2071114,-0.20702618,1.4424891,-0.28529651998234573,2.0097277
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0032.jpg,0.0891577,1.5062536,-2.7052624,-0.36995038,1.5062536,0.0891577,1.7351731,-0.128920227629035,2.425197
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0033.jpg,-0.55097014,1.1476729,-2.231569,-0.54495543,1.1476729,-0.55097014,1.3440657,-0.3754474135096444,1.8319185
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0034.jpg,-0.35335118,1.3231509,-2.1039143,-0.37803817,1.3231509,-0.35335118,1.5215994,-0.25335667658273664,2.0896876
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0035.jpg,0.06891626,1.6710331,-2.0528393,-0.1042966,1.6710331,0.06891626,1.8744718,-0.03640191761533218,2.6221957
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0036.jpg,0.29942596,1.8524413,-0.918809,0.41101947,1.8524413,0.29942596,2.094754,0.3008028847194292,3.1457918
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0037.jpg,-0.46341413,1.366436,-3.7259433,-0.9409738,1.366436,-0.46341413,1.5205132,-0.39644047545656,1.9755623
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0038.jpg,-0.6518639,1.1223323,-3.6241744,-1.0512353,1.1223323,-0.6518639,1.2864066,-0.5137152586187024,1.678782
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0039.jpg,-0.57770973,1.1770573,-2.8586564,-0.75310296,1.1770573,-0.57770973,1.3515319,-0.43595780769910186,1.7929171
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0040.jpg,-0.22484386,1.2676303,-2.7602022,-0.5724719,1.2676303,-0.22484386,1.4848593,-0.29018662141502505,2.04204
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0041.jpg,0.2831719,1.7187283,-2.100569,-0.032889605,1.7187283,0.2831719,1.9497813,0.03644425266574691,2.7838597
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0042.jpg,0.016822815,1.1772692,-2.0938914,-0.2999331,1.1772692,0.016822815,1.4783427,-0.16255169400337166,2.1538584
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0043.jpg,-0.17353302,1.1212713,-2.27539,-0.44255057,1.1212713,-0.17353302,1.3893396,-0.26265755691370574,1.9822267
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0044.jpg,0.15221322,1.5899351,-2.3996704,-0.21917403,1.5899351,0.15221322,1.8178473,-0.0643090138662783,2.5600884
