filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.040372908,0.3723823,0.0613815,0.1311303,0.3723823,0.0613815,1.2455723,0.12989319694275092,2.1877322
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.6865705,-0.18836519,-2.65054,-1.1751586,-0.18836519,-0.6865705,0.3380598,-0.9217578645360514,0.6640171
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.19474733,0.6235235,-2.4739492,-0.68172437,0.6235235,-0.19474733,1.0198517,-0.43305564393551366,1.53988
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-0.59541285,0.5177399,-1.780046,-0.6192396,0.5177399,-0.59541285,0.87471664,-0.5089622970333987,1.3494911
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.26039314,0.94964004,-1.698219,-0.336324,0.94964004,-0.26039314,1.2637134,-0.2533358731839659,1.873253
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.2569914,1.2353454,-1.1970533,-0.07289978,1.2353454,-0.2569914,1.5074105,-0.07622884976778166,2.2247665
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.13114256,1.5049813,-0.72430176,0.21651231,1.5049813,-0.13114256,1.7691431,0.14964392298138884,2.662984
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,0.22385931,1.5475488,-1.0730392,0.23278964,1.5475488,0.22385931,1.8394058,0.18064603697920023,2.7860842
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.46661124,0.9480958,-0.94758475,-0.15536673,0.9480958,-0.46661124,1.2797083,-0.15293545793935748,1.958
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-0.4354145,0.4337807,-1.3773125,-0.45964876,0.4337807,-0.4354145,0.8929535,-0.404005176605044,1.4457425
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-0.9485703,0.26789638,-1.0713738,-0.5840159,0.26789638,-0.9485703,0.7114996,-0.5452654022581429,1.1930647
