filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,0.079401016,-0.6675955,-0.21290913,-0.26703453,0.079401016,-0.21290913,0.8770544,-0.26032950841278135,1.5470443
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.31310958,0.3995951,-1.210484,-0.37466618,0.3995951,-0.31310958,0.9244349,-0.335701839698356,1.5256535
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.2022245,0.871897,-2.0292065,-0.45317802,0.871897,-0.2022245,1.2059093,-0.3078401377466614,1.7870615
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-0.00703007,1.1145736,-1.861884,-0.25144684,1.1145736,-0.00703007,1.4342847,-0.1526867400159434,2.1188793
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.0659436,1.0305783,-1.6826197,-0.23932834,1.0305783,-0.0659436,1.3673042,-0.16397047728892222,2.0452802
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.19528508,0.812896,-1.6060454,-0.32947814,0.812896,-0.19528508,1.1871442,-0.2530782235592298,1.8118651
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.06178534,1.0714597,-1.7357594,-0.24202836,1.0714597,-0.06178534,1.3952514,-0.16130162472130416,2.0725217
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,0.07068908,0.89407945,-1.569347,-0.20152617,0.89407945,0.07068908,1.3154728,-0.13392546138498373,2.0320153
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,0.110384345,0.6912124,-1.5451461,-0.24784978,0.6912124,0.110384345,1.201807,-0.17431582686356295,1.9012941
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-0.14350742,0.4854351,-0.8797315,-0.17926793,0.4854351,-0.14350742,1.0668087,-0.16510937654740154,1.7802538
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,0.053061485,0.8285146,-1.0565791,-0.05833435,0.8285146,0.053061485,1.3061824,-0.04365134469571086,2.0929587
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-0.29836243,0.5673275,-1.145996,-0.29234365,0.5673275,-0.29836243,1.0379727,-0.26103846887256976,1.676097
