filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,0.45387065,-0.17287824,-0.05931382,0.07389287,0.45387065,-0.05931382,1.211359,0.07152753332769834,2.1050093
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.14226162,0.20258471,-2.9428196,-0.9608322,0.20258471,-0.14226162,0.7629881,-0.5970668975066904,1.2158414
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.3534491,0.24900451,-3.595204,-1.2332162,0.24900451,-0.3534491,0.69936013,-0.6913491145372909,1.096116
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-0.44791657,0.40373716,-3.5434964,-1.195892,0.40373716,-0.44791657,0.77254987,-0.6669489594524307,1.1667356
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.024596691,0.9334965,-3.1982234,-0.76310784,0.9334965,-0.024596691,1.2697394,-0.33528206855887066,1.8384128
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.40017533,0.5849812,-3.1748202,-0.99667144,0.5849812,-0.40017533,0.91907144,-0.5701489170656253,1.3515166
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.3171335,0.6322644,-2.7420895,-0.8089862,0.6322644,-0.3171335,0.983776,-0.4967528343030828,1.4589552
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.5873985,0.35742685,-2.6641753,-0.96471566,0.35742685,-0.5873985,0.7203119,-0.6770350802062677,1.1129341
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.9730085,0.1483148,-2.5504391,-1.1250442,0.1483148,-0.9730085,0.47987333,-0.8733243777134724,0.7923025
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-0.4825807,0.6134281,-2.0814488,-0.6502004,0.6134281,-0.4825807,0.9511517,-0.487739945096914,1.4298437
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-0.31808066,0.8730465,-2.1229527,-0.5226623,0.8730465,-0.31808066,1.1760101,-0.35927021723760466,1.7165624
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-0.015409946,0.8511889,-1.9911011,-0.3851074,0.8511889,-0.015409946,1.2423326,-0.2450803049246587,1.877869
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,0.08856428,0.07495484,-0.43089658,-0.08912582,0.08856428,0.07495484,1.0368667,-0.08702987009396423,1.8203506
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-0.32398248,0.2370784,-2.9921463,-1.0263501,0.2370784,-0.32398248,0.7134316,-0.6536817804596312,1.1325784
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-0.71344566,0.47500858,-2.732097,-0.99017805,0.47500858,-0.71344566,0.7715256,-0.6833946244208946,1.1438214
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-0.7445043,0.77583265,-2.605887,-0.8581862,0.77583265,-0.7445043,1.0010757,-0.5817910833449476,1.392449
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-0.95329493,0.22999153,-2.294688,-1.0059972,0.22999153,-0.95329493,0.55666924,-0.8047481094616449,0.89388424
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-0.34325683,1.2083806,-1.9387776,-0.35788462,1.2083806,-0.34325683,1.4354165,-0.25359979236113395,2.0152023
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-0.3454029,1.2813396,-1.6974438,-0.2538357,1.2813396,-0.3454029,1.50242,-0.19801139482436592,2.1160605
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,-0.39106703,1.1296759,-1.7971518,-0.35284767,1.1296759,-0.39106703,1.3703576,-0.266312610246929,1.9461756
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0020.jpg,-0.114685416,1.4311609,-1.742245,-0.14192314,1.4311609,-0.114685416,1.6582904,-0.09678183982346145,2.35353
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0021.jpg,-0.06814009,1.1111766,-1.7299215,-0.22896166,1.1111766,-0.06814009,1.4229537,-0.1524041493758117,2.1034708
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0022.jpg,-0.34464693,0.66863966,-1.7543496,-0.47678563,0.66863966,-0.34464693,1.0413611,-0.3730964894065225,1.592327
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0023.jpg,0.008748829,0.9463742,-1.6805377,-0.2418049,0.9463742,0.008748829,1.3274496,-0.1608836533696526,2.0178778
/home/stefano.bonetto/ClipBased-SyntheticImageDetection/temp_frames/frame_0024.jpg,-0.18325877,0.59795725,-0.4939998,-0.026433775,0.59795725,-0.18325877,1.182075,-0.02873041538693133,1.9901146
