/home/stefano.bonetto/ClipBased-SyntheticImageDetection/test_videos_luma_plus_real/Dolphin_Fake.mp4
| Model                  | Output    |   Confidence |
|:-----------------------|:----------|-------------:|
| clipdet_latent10k      | Real      |     0.785124 |
| clipdet_latent10k_plus | Synthetic |     1        |
| Corvi2023              | Real      |     1        |
| fusion[mean_logit]     | Real      |     0.958678 |
| fusion[max_logit]      | Synthetic |     1        |
| fusion[median_logit]   | Real      |     0.785124 |
| fusion[lse_logit]      | Synthetic |     1        |
| fusion[mean_prob]      | Real      |     0.917355 |
| fusion[soft_or_prob]   | Synthetic |     1        |

/home/stefano.bonetto/ClipBased-SyntheticImageDetection/test_videos_luma_plus_real/Cow_Fake.mp4
| Model                  | Output    |   Confidence |
|:-----------------------|:----------|-------------:|
| clipdet_latent10k      | Real      |      0.92562 |
| clipdet_latent10k_plus | Synthetic |      1       |
| Corvi2023              | Real      |      1       |
| fusion[mean_logit]     | Real      |      1       |
| fusion[max_logit]      | Synthetic |      1       |
| fusion[median_logit]   | Real      |      0.92562 |
| fusion[lse_logit]      | Synthetic |      1       |
| fusion[mean_prob]      | Real      |      1       |
| fusion[soft_or_prob]   | Synthetic |      1       |

/home/stefano.bonetto/ClipBased-SyntheticImageDetection/test_videos_luma_plus_real/Skier_Real.mp4
| Model                  | Output   |   Confidence |
|:-----------------------|:---------|-------------:|
| clipdet_latent10k      | Real     |            1 |
| clipdet_latent10k_plus | Real     |            1 |
| Corvi2023              | Real     |            1 |
| fusion[mean_logit]     | Real     |            1 |
| fusion[max_logit]      | Real     |            1 |
| fusion[median_logit]   | Real     |            1 |
| fusion[lse_logit]      | Real     |            1 |
| fusion[mean_prob]      | Real     |            1 |
| fusion[soft_or_prob]   | Real     |            1 |

/home/stefano.bonetto/ClipBased-SyntheticImageDetection/test_videos_luma_plus_real/Horse_Fake.mp4
| Model                  | Output    |   Confidence |
|:-----------------------|:----------|-------------:|
| clipdet_latent10k      | Synthetic |     0.628099 |
| clipdet_latent10k_plus | Synthetic |     1        |
| Corvi2023              | Real      |     1        |
| fusion[mean_logit]     | Real      |     0.942149 |
| fusion[max_logit]      | Synthetic |     1        |
| fusion[median_logit]   | Synthetic |     0.628099 |
| fusion[lse_logit]      | Synthetic |     1        |
| fusion[mean_prob]      | Real      |     0.702479 |
| fusion[soft_or_prob]   | Synthetic |     1        |

/home/stefano.bonetto/ClipBased-SyntheticImageDetection/test_videos_luma_plus_real/Thunder_Fake.mp4
| Model                  | Output    |   Confidence |
|:-----------------------|:----------|-------------:|
| clipdet_latent10k      | Synthetic |     0.68595  |
| clipdet_latent10k_plus | Synthetic |     1        |
| Corvi2023              | Real      |     1        |
| fusion[mean_logit]     | Real      |     0.785124 |
| fusion[max_logit]      | Synthetic |     1        |
| fusion[median_logit]   | Synthetic |     0.68595  |
| fusion[lse_logit]      | Synthetic |     1        |
| fusion[mean_prob]      | Real      |     0.644628 |
| fusion[soft_or_prob]   | Synthetic |     1        |

/home/stefano.bonetto/ClipBased-SyntheticImageDetection/test_videos_luma_plus_real/Soldier_Fake.mp4
| Model                  | Output    |   Confidence |
|:-----------------------|:----------|-------------:|
| clipdet_latent10k      | Real      |     0.966942 |
| clipdet_latent10k_plus | Synthetic |     1        |
| Corvi2023              | Real      |     1        |
| fusion[mean_logit]     | Real      |     1        |
| fusion[max_logit]      | Synthetic |     1        |
| fusion[median_logit]   | Real      |     0.966942 |
| fusion[lse_logit]      | Synthetic |     1        |
| fusion[mean_prob]      | Real      |     1        |
| fusion[soft_or_prob]   | Synthetic |     1        |

/home/stefano.bonetto/ClipBased-SyntheticImageDetection/test_videos_luma_plus_real/Purse_Fake.mp4
| Model                  | Output    |   Confidence |
|:-----------------------|:----------|-------------:|
| clipdet_latent10k      | Synthetic |     0.983471 |
| clipdet_latent10k_plus | Synthetic |     1        |
| Corvi2023              | Real      |     1        |
| fusion[mean_logit]     | Synthetic |     0.595041 |
| fusion[max_logit]      | Synthetic |     1        |
