filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.46410412,-0.990258,-3.756148,-1.7368368,-0.46410412,-0.990258,0.023279488,-1.227774495582683,0.25148886
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.9034904,-1.3778455,-6.366895,-2.8827438,-0.9034904,-1.3778455,-0.41704434,-1.630213051233511,-0.27122664
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.9879965,-1.3169405,-6.9137573,-3.0728981,-0.9879965,-1.3169405,-0.44430518,-1.649255566824176,-0.29871547
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-1.0684967,-1.0752915,-7.5511317,-3.2316399,-1.0684967,-1.0752915,-0.37797397,-1.5841812056227256,-0.21955031
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-1.161423,-0.9634093,-7.372436,-3.1657562,-0.9634093,-1.161423,-0.36347163,-1.5733151758722301,-0.20429367
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.96663547,-0.76461744,-6.984382,-2.9052117,-0.76461744,-0.96663547,-0.16629207,-1.398586245545145,0.024505913
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.8641114,-0.81700325,-6.889457,-2.8568573,-0.81700325,-0.8641114,-0.14595354,-1.378191848316037,0.05015397
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.84544593,-0.6091337,-7.2069592,-2.8871796,-0.6091337,-0.84544593,-0.026416898,-1.2785590832105753,0.18923265
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-1.1885171,-1.0404297,-7.2083106,-3.1457527,-1.0404297,-1.1885171,-0.41746277,-1.6206851669983129,-0.2653668
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-1.1447613,-0.871178,-6.992536,-3.002825,-0.871178,-1.1447613,-0.3042493,-1.5222883568994856,-0.13734287
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-1.2042527,-1.040478,-6.729076,-2.9912689,-1.040478,-1.2042527,-0.42404038,-1.6264019908570164,-0.27277887
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-0.9203908,-0.77635777,-6.6527176,-2.7831554,-0.77635777,-0.9203908,-0.15113395,-1.3836453629516663,0.04339969
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-0.76614034,-0.72343373,-7.4120183,-2.9671974,-0.72343373,-0.76614034,-0.050776303,-1.2959237716824483,0.16268831
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-1.0833884,-1.1959572,-7.2421236,-3.173823,-1.0833884,-1.1959572,-0.44382626,-1.643972330683639,-0.29509616
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-1.3652784,-1.4416273,-7.6437774,-3.4835613,-1.3652784,-1.4416273,-0.7086037,-1.8858472487415743,-0.59242034
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-1.2891018,-1.3264562,-7.2656574,-3.2937386,-1.2891018,-1.3264562,-0.61316574,-1.797547208717158,-0.48582464
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-1.276447,-0.93887234,-7.57701,-3.2641098,-0.93887234,-1.276447,-0.39957118,-1.6099284885766765,-0.24830085
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-1.0308039,-1.0865686,-7.5664563,-3.2279427,-1.0308039,-1.0865686,-0.3644051,-1.5721963870117834,-0.20410275
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-1.3065119,-1.039991,-7.652962,-3.333155,-1.039991,-1.3065119,-0.47049117,-1.671438980145468,-0.32747644
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,-1.3050382,-0.91539013,-7.4944243,-3.2382843,-0.91539013,-1.3050382,-0.39737976,-1.6099844882617296,-0.24708372
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0020.jpg,-1.1828048,-0.76444113,-7.5631013,-3.1701157,-0.76444113,-1.1828048,-0.25808263,-1.4878142996817796,-0.0880962
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0021.jpg,-1.2741358,-0.68139225,-7.7704406,-3.2419894,-0.68139225,-1.2741358,-0.24078992,-1.4830034605441456,-0.0748446
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0022.jpg,-1.1546261,-0.7062973,-7.5580626,-3.139662,-0.7062973,-1.1546261,-0.21175212,-1.4487452638587268,-0.035422683
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0023.jpg,-1.1688489,-0.579453,-7.5633535,-3.103885,-0.579453,-1.1688489,-0.13759875,-1.3933082063587454,0.045030773
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0024.jpg,-0.92835915,-0.6119251,-8.204502,-3.2482622,-0.6119251,-0.92835915,-0.064238906,-1.3146061761213308,0.14186066
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0025.jpg,-1.0999254,-0.6801706,-8.170437,-3.3168442,-0.6801706,-1.0999254,-0.17469943,-1.4151695003999072,0.008579731
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0026.jpg,-1.3182435,-0.67088914,-7.9724975,-3.3205433,-0.67088914,-1.3182435,-0.24948296,-1.4944746136773546,-0.087375045
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0027.jpg,-1.3626666,-0.80771184,-8.240355,-3.4702444,-0.80771184,-1.3626666,-0.3536535,-1.5798520375233416,-0.20276785
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0028.jpg,-1.2330146,-0.89863145,-8.096807,-3.4094841,-0.89863145,-1.2330146,-0.35832822,-1.573180241691818,-0.20121765
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0029.jpg,-1.4237783,-1.1034176,-7.8247924,-3.4506626,-1.1034176,-1.4237783,-0.5569785,-1.7515125913229583,-0.42605394
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0030.jpg,-1.0615892,-1.0830777,-7.617647,-3.2541046,-1.0615892,-1.0830777,-0.37841046,-1.584632211970483,-0.22008532
