filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-1.2389817,-1.9434626,-4.105112,-2.4291856,-1.2389817,-1.9434626,-0.79989886,-1.973308376311194,-0.6957904
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-1.3553388,-2.182253,-8.516542,-4.018045,-1.3553388,-2.182253,-0.9919652,-2.1731807882861576,-0.9162645
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-1.623571,-1.8785719,-10.712849,-4.7383304,-1.623571,-1.8785719,-1.0497544,-2.207308864286461,-0.96715015
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-1.6919425,-1.9925554,-11.061829,-4.915442,-1.6919425,-1.9925554,-1.137799,-2.291360419359854,-1.0623605
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-1.8115112,-1.9407506,-11.323668,-5.02531,-1.8115112,-1.9407506,-1.1808579,-2.329888224180867,-1.1071976
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-2.0039105,-1.8810381,-10.696545,-4.860498,-1.8810381,-2.0039105,-1.2473624,-2.3931689754456973,-1.1782486
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-2.1280577,-1.9277838,-10.832258,-4.9627,-1.9277838,-2.1280577,-1.3296936,-2.472549369781195,-1.2662568
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-1.9814286,-1.743495,-11.1553135,-4.960079,-1.743495,-1.9814286,-1.162209,-2.313429525394684,-1.0879269
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-2.385117,-2.0378997,-11.018107,-5.1470413,-2.0378997,-2.385117,-1.5032926,-2.641138611725121,-1.4507326
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-1.9941231,-1.5182371,-11.068997,-4.8604527,-1.5182371,-1.9941231,-1.0349438,-2.198861862669315,-0.9543073
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-2.2830784,-1.789163,-10.9896965,-5.0206456,-1.789163,-2.2830784,-1.3127218,-2.4618615189067086,-1.2513069
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-2.0364466,-1.5443258,-11.088715,-4.889829,-1.5443258,-2.0364466,-1.0672224,-2.229674014045369,-0.9893388
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-1.3228834,-1.6037655,-8.990168,-3.9722722,-1.3228834,-1.6037655,-0.7600811,-1.9370419619752484,-0.6514875
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-1.4008473,-1.5225227,-10.48291,-4.46876,-1.4008473,-1.5225227,-0.7666281,-1.9404355289517627,-0.6571168
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-1.8626473,-1.5882058,-10.993701,-4.8148513,-1.5882058,-1.8626473,-1.0228473,-2.182320756309281,-0.93829393
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-1.7761314,-1.7624662,-11.391678,-4.9767585,-1.7624662,-1.7761314,-1.0760951,-2.229967516679918,-0.99429977
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-2.29035,-1.957759,-11.568621,-5.272243,-1.957759,-2.29035,-1.4171045,-2.558140313217716,-1.3598138
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-1.7897264,-1.6033642,-11.371352,-4.9214807,-1.6033642,-1.7897264,-0.9990318,-2.1584606272912397,-0.91168857
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-2.068497,-1.5118449,-11.1110735,-4.8971386,-1.5118449,-2.068497,-1.0587379,-2.2238883344877696,-0.9814559
