filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.7093567,-0.7219156,-12.036307,-4.4891934,-0.7093567,-0.7219156,-0.022463143,-1.2720527057793012,0.19622362
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.59750205,-0.24511114,-14.789955,-5.210856,-0.24511114,-0.59750205,0.2872837,-1.0219504193798725,0.5672362
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.6352154,-0.64106405,-15.161403,-5.4792275,-0.6352154,-0.64106405,0.055011988,-1.2057999224534361,0.289401
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-0.77019584,-0.85640204,-15.3897705,-5.672123,-0.77019584,-0.85640204,-0.11922288,-1.3562966957449087,0.08084929
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.39583015,-0.6700485,-15.76062,-5.608833,-0.39583015,-0.6700485,0.1695782,-1.115034062236166,0.42476445
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.37348807,-0.7132797,-15.218621,-5.4351296,-0.37348807,-0.7132797,0.16412687,-1.1226265486607008,0.41585702
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.36780632,-0.7803328,-15.498999,-5.549046,-0.36780632,-0.7803328,0.14020085,-1.1466225894277167,0.38371813
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.621318,-0.5563208,-15.677978,-5.6185384,-0.5563208,-0.621318,0.104855955,-1.1638943781439237,0.34963948
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.4940992,-0.72581863,-15.887263,-5.702394,-0.4940992,-0.72581863,0.089885116,-1.180213395327129,0.32880223
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-0.8461384,-0.82036805,-15.612516,-5.759674,-0.82036805,-0.8461384,-0.14002281,-1.3739872221905243,0.05661142
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-0.95785177,-1.2698265,-15.749989,-5.9925556,-0.95785177,-1.2698265,-0.40857482,-1.6176308785375304,-0.2582848
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-1.0472432,-1.1638104,-15.300306,-5.83712,-1.0472432,-1.1638104,-0.41068178,-1.61489419706816,-0.2577567
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-0.9499749,-1.0817858,-14.928541,-5.6534343,-0.9499749,-1.0817858,-0.32056248,-1.5343863766837058,-0.15449762
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-1.0105802,-0.94869184,-15.295852,-5.7517076,-0.94869184,-1.0105802,-0.2860098,-1.5028231897568256,-0.114046454
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-1.0843416,-1.1377208,-15.414043,-5.878702,-1.0843416,-1.1377208,-0.41752762,-1.6204592777155258,-0.26519185
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-0.949524,-1.1075281,-15.413185,-5.8234124,-0.949524,-1.1075281,-0.33226115,-1.5452669294905788,-0.16826427
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-1.0339009,-1.1194524,-15.357555,-5.8369694,-1.0339009,-1.1194524,-0.38261455,-1.5893131948348977,-0.22543347
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-1.0518771,-1.0616044,-15.217266,-5.776916,-1.0518771,-1.0616044,-0.36358136,-1.5718277045359432,-0.2033422
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-1.1593407,-0.93769336,-14.924313,-5.6737823,-0.93769336,-1.1593407,-0.34924102,-1.5618269133149476,-0.18868941
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0019.jpg,-1.2226074,-1.2053852,-15.338186,-5.9220595,-1.2053852,-1.2226074,-0.5208116,-1.7138455200129423,-0.38235605
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0020.jpg,-1.3055815,-1.2375814,-15.55688,-6.0333476,-1.2375814,-1.3055815,-0.57785606,-1.7660984355866083,-0.44672853
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0021.jpg,-0.9618562,-1.1823431,-15.419015,-5.8544044,-0.9618562,-1.1823431,-0.37288767,-1.582941064928962,-0.21579003
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0022.jpg,-0.99607164,-1.0693212,-15.72896,-5.9314513,-0.99607164,-1.0693212,-0.33887845,-1.550027574782333,-0.17514229
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0023.jpg,-1.093723,-1.1038775,-15.511118,-5.9029064,-1.093723,-1.1038775,-0.4056399,-1.6096008477643968,-0.25151777
