filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-1.5020102,-1.7571971,-6.9984574,-3.4192216,-1.5020102,-1.7571971,-0.9260302,-2.0901281313835365,-0.83255184
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-1.7359543,-1.5860679,-10.61746,-4.6464944,-1.5860679,-1.7359543,-0.9649941,-2.125986382029737,-0.874488
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-1.9402561,-2.016244,-11.254147,-5.0702157,-1.9402561,-2.016244,-1.2843344,-2.4282075645667507,-1.2175019
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-1.8668228,-1.822383,-11.775814,-5.155007,-1.822383,-1.8668228,-1.1511846,-2.301221170872094,-1.0751213
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-1.7208816,-1.4948502,-12.400991,-5.2055745,-1.4948502,-1.7208816,-0.90833575,-2.07397463215497,-0.8134579
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-1.7060773,-1.4751108,-12.348115,-5.176434,-1.4751108,-1.7060773,-0.89078283,-2.057651458285982,-0.794355
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-1.5028565,-1.5086268,-12.555241,-5.188908,-1.5028565,-1.5086268,-0.8125823,-1.9825375163657144,-0.707386
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-1.7005669,-1.5287493,-12.557313,-5.2622094,-1.5287493,-1.7005669,-0.9178165,-2.0820153122138865,-0.82330984
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-1.7801421,-1.7891698,-12.532209,-5.3671737,-1.7801421,-1.7891698,-1.0914876,-2.2445425198987374,-1.0108949
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-1.6351557,-1.4785098,-12.846138,-5.3199344,-1.4785098,-1.6351557,-0.8606152,-2.028332133981909,-0.76069653
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-1.7475806,-1.8077388,-12.541237,-5.3655186,-1.7475806,-1.8077388,-1.0840497,-2.237621120006097,-1.0029479
