filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-1.1179051,-1.0233245,-1.1088744,-1.083368,-1.0233245,-1.1088744,0.016160965,-1.0829206456433593,0.33577502
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-1.5671759,-0.6659459,-3.1602666,-1.7977962,-0.6659459,-1.5671759,-0.26809475,-1.4878958421704946,-0.09737444
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-1.5168233,-0.47921148,-3.989466,-1.9951669,-0.47921148,-1.5168233,-0.15409699,-1.4273381711876594,0.011039317
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-1.0147517,0.0897325,-4.0198445,-1.6482879,0.0897325,-1.0147517,0.3882036,-1.0012145196730642,0.6440219
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-1.2379428,-0.27372757,-3.6527798,-1.7214833,-0.27372757,-1.2379428,0.07365784,-1.2233343304636508,0.28512192
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-1.042055,-0.07674596,-3.945382,-1.6880611,-0.07674596,-1.042055,0.2609771,-1.0799377966782764,0.50436056
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-1.5435251,-0.8324969,-3.7061558,-2.0273926,-0.8324969,-1.5435251,-0.39577162,-1.6019606851072392,-0.24296355
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-1.3970987,-0.7529295,-3.4575956,-1.869208,-0.7529295,-1.3970987,-0.28794396,-1.4961454795298486,-0.11363393
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-1.5664244,-0.7672414,-3.4668822,-1.933516,-0.7672414,-1.5664244,-0.35055563,-1.56201712809961,-0.19204223
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-1.4133655,-0.62407506,-3.4128444,-1.8167616,-0.62407506,-1.4133655,-0.20822161,-1.436088484763633,-0.028036654
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-1.4080604,-0.5651846,-3.5723567,-1.848534,-0.5651846,-1.4080604,-0.17320871,-1.4152732877889398,0.0066826344
