filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-1.1208564,-1.6404212,-1.1242348,-1.2951708,-1.1208564,-1.1242348,-0.16865551,-1.2783633952425117,0.09300178
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-1.4172187,-1.5515971,-2.2654026,-1.7447395,-1.4172187,-1.5515971,-0.58324444,-1.6985026880306509,-0.4125948
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-1.5764631,-1.678395,-2.538479,-1.9311123,-1.5764631,-1.678395,-0.750004,-1.866592785947984,-0.6068405
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-1.43187,-1.15093,-2.7486928,-1.7771641,-1.15093,-1.43187,-0.47930163,-1.6256356975713242,-0.30767506
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-1.1801394,-1.447496,-2.3952587,-1.6742979,-1.1801394,-1.447496,-0.4564268,-1.5881113905351336,-0.27204937
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-1.5358224,-1.4983909,-2.298658,-1.7776238,-1.4983909,-1.5358224,-0.61774004,-1.7318763487869953,-0.4523151
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-1.1698319,-0.99217665,-2.054143,-1.4053837,-0.99217665,-1.1698319,-0.21147358,-1.3431000191637104,0.026222825
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-1.2520709,-0.8460429,-2.2112803,-1.4364647,-0.8460429,-1.2520709,-0.19287866,-1.3423989178036382,0.038306177
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-1.2360604,-0.7846159,-2.2582903,-1.4263221,-0.7846159,-1.2360604,-0.16093135,-1.31873769411584,0.07309973
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-1.23874,-0.7395605,-2.2035139,-1.3939381,-0.7395605,-1.23874,-0.13069284,-1.29072371240004,0.109533966
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-1.4756936,-0.639865,-2.0499794,-1.3885126,-0.639865,-1.4756936,-0.12248266,-1.2942355678487178,0.11165935
