filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-1.020927,-2.1734848,-9.146073,-4.113495,-1.020927,-2.1734848,-0.74623597,-1.9701742702773313,-0.6632129
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.9172919,-1.822341,-18.715137,-7.1515903,-0.9172919,-1.822341,-0.57759476,-1.8024390864153872,-0.46865946
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.93622375,-1.7127419,-19.796986,-7.4819837,-0.93622375,-1.7127419,-0.55778396,-1.7757875824798004,-0.44129857
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-1.0023146,-1.7110866,-19.890734,-7.534712,-1.0023146,-1.7110866,-0.60203063,-1.8111173638128637,-0.48774534
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-1.022731,-1.6947206,-20.200562,-7.6393375,-1.022731,-1.6947206,-0.61016357,-1.8162543598359517,-0.49543652
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-1.1305258,-1.7290152,-20.569538,-7.809693,-1.1305258,-1.7290152,-0.69250226,-1.8869505269717672,-0.584082
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-1.0752643,-1.6972992,-20.794605,-7.855723,-1.0752643,-1.6972992,-0.6455289,-1.845456992607996,-0.5329235
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-1.1457784,-1.7201605,-20.875051,-7.9136634,-1.1457784,-1.7201605,-0.6991377,-1.8918192940460763,-0.5906929
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-1.1962932,-1.7159594,-21.047306,-7.9865193,-1.1962932,-1.7159594,-0.72959566,-1.9171843348646633,-0.6227689
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-1.17935,-1.7213501,-21.108177,-8.002959,-1.17935,-1.7213501,-0.7209232,-1.9102259027320514,-0.61380404
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-1.1041793,-1.6783412,-21.178974,-7.987165,-1.1041793,-1.6783412,-0.6574592,-1.8538260710476155,-0.5446436
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-1.1075915,-1.7493479,-21.276875,-8.044604,-1.1075915,-1.7493479,-0.6847011,-1.8820824159490626,-0.5768137
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-1.1438756,-1.6448339,-22.346909,-8.378539,-1.1438756,-1.6448339,-0.67016035,-1.8619782560073304,-0.5566479
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-1.1301748,-1.6131163,-22.477379,-8.40689,-1.1301748,-1.6131163,-0.6496233,-1.8424503053165258,-0.533411
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-1.1430365,-1.604515,-22.494936,-8.414163,-1.1430365,-1.604515,-0.6542411,-1.84575894619686,-0.5379896
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-1.1209768,-1.6032522,-22.589066,-8.437764,-1.1209768,-1.6032522,-0.64017105,-1.8338025449747255,-0.5228999
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-1.1622897,-1.5883282,-22.614388,-8.455002,-1.1622897,-1.5883282,-0.65964276,-1.8492847065702969,-0.5431347
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-1.144425,-1.6267849,-22.641054,-8.470755,-1.144425,-1.6267849,-0.6636516,-1.8552296437822122,-0.54895383
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-1.1270974,-1.6194615,-22.700336,-8.482299,-1.1270974,-1.6194615,-0.6501306,-1.8433229475679767,-0.53422093
