filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-1.3944566,-1.9516432,-2.8138835,-2.0533278,-1.3944566,-1.9516432,-0.7985526,-1.9318131934346041,-0.671967
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-1.6218123,-1.7950895,-4.9518113,-2.789571,-1.6218123,-1.7950895,-0.9922986,-2.144901384390514,-0.90056324
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-1.8194764,-1.8416615,-6.1206756,-3.2606046,-1.8194764,-1.8416615,-1.1305323,-2.2793469807800295,-1.051751
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-1.8289444,-1.8140095,-6.378079,-3.3403442,-1.8140095,-1.8289444,-1.1230669,-2.272755775928656,-1.0439832
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-1.833138,-1.7811813,-6.5861163,-3.4001453,-1.7811813,-1.833138,-1.109483,-2.260278383987494,-1.0295861
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-1.7819206,-1.7788062,-6.8403893,-3.4670384,-1.7788062,-1.7819206,-1.0840473,-2.236406893816678,-1.0023034
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-1.8697658,-1.8818107,-6.842852,-3.5314763,-1.8697658,-1.8818107,-1.1791472,-2.3266641023537407,-1.1045088
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-1.906352,-1.8830311,-6.939277,-3.5762203,-1.8830311,-1.906352,-1.1982597,-2.3449654514531915,-1.1250333
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-1.9497571,-1.8026164,-6.939259,-3.5638773,-1.8026164,-1.9497571,-1.1771861,-2.3255746207406367,-1.1028402
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-1.9631504,-1.8090209,-7.0095143,-3.5938952,-1.8090209,-1.9631504,-1.1870073,-2.3350453743454223,-1.1134295
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-1.9913743,-1.8128109,-7.108954,-3.6377132,-1.8128109,-1.9913743,-1.2022402,-2.34987407543226,-1.1299146
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-2.0344481,-1.8867304,-7.0689287,-3.6633692,-1.8867304,-2.0344481,-1.2617068,-2.4062088772887353,-1.1932135
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-1.5387964,-2.0327466,-5.364765,-2.9787693,-1.5387964,-2.0327466,-1.048985,-2.2077336085391557,-0.9671786
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-1.5884967,-1.9199204,-5.845384,-3.117934,-1.5884967,-1.9199204,-1.0391811,-2.195925919944342,-0.9550569
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-1.639528,-1.9630553,-5.9027786,-3.168454,-1.639528,-1.9630553,-1.0869837,-2.240982293288031,-1.006561
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-1.6282294,-1.9308404,-6.0118775,-3.190316,-1.6282294,-1.9308404,-1.0678332,-2.2227652375923705,-0.98584545
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-1.6461346,-1.9376725,-6.1792293,-3.2543457,-1.6461346,-1.9376725,-1.0820369,-2.2363372261927386,-1.0012231
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0017.jpg,-1.7110287,-2.0175252,-6.2868695,-3.3384743,-1.7110287,-2.0175252,-1.1535187,-2.304460667692742,-1.078279
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0018.jpg,-1.7653422,-1.9354243,-6.318249,-3.339672,-1.7653422,-1.9354243,-1.1479256,-2.297166290342077,-1.0711558
