filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-1.5363301,-1.9472988,-13.052465,-5.5120316,-1.5363301,-1.9472988,-1.0276963,-2.1901346831118693,-0.9453925
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-2.0728216,-2.056157,-19.533302,-7.887427,-2.056157,-2.0728216,-1.3713075,-2.5113530713005177,-1.3097992
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-2.125424,-1.8982596,-21.15897,-8.3942175,-1.8982596,-2.125424,-1.312258,-2.456214857256212,-1.2479302
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-1.9580257,-1.8696408,-21.553234,-8.4603,-1.8696408,-1.9580257,-1.2197099,-2.366607861078296,-1.1486133
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-2.1011698,-1.6863238,-21.687416,-8.491637,-1.6863238,-2.1011698,-1.17924,-2.333151179031167,-1.1081637
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-2.09359,-1.7547054,-21.897007,-8.581767,-1.7547054,-2.09359,-1.2167133,-2.366982207418614,-1.1472204
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-2.1918778,-1.6939971,-22.078283,-8.654719,-1.6939971,-2.1918778,-1.2191195,-2.3731347114623693,-1.1519495
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-2.3495395,-1.63479,-22.474869,-8.819733,-1.63479,-2.3495395,-1.2364739,-2.3966843528964583,-1.1743774
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-2.2926297,-1.6771102,-22.177776,-8.715838,-1.6771102,-2.2926297,-1.245094,-2.401331134197198,-1.1815846
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-2.1610646,-1.6521078,-21.783638,-8.5322695,-1.6521078,-2.1610646,-1.1814029,-2.3377798006363113,-1.1119225
