filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-1.7189027,-1.5471675,-1.3036407,-1.5232371,-1.3036407,-1.5471675,-0.40999413,-1.5139526865443043,-0.20010358
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-2.1388783,-1.4534369,-1.9712235,-1.8545128,-1.4534369,-1.9712235,-0.71163964,-1.8233258856515735,-0.56005985
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-2.294104,-1.1667391,-2.9728844,-2.1445758,-1.1667391,-2.294104,-0.7691907,-1.9376360584381929,-0.65877354
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-2.28756,-1.1669229,-3.1673608,-2.2072814,-1.1669229,-2.28756,-0.7875636,-1.9612892095308734,-0.6826564
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-2.235244,-0.9932095,-3.2657447,-2.1647327,-0.9932095,-2.235244,-0.6625781,-1.8612457705217522,-0.553609
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-2.2206469,-1.0595515,-3.2552998,-2.1784995,-1.0595515,-2.2206469,-0.705788,-1.8937755861373944,-0.59720814
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-2.2432857,-1.0839356,-3.2150342,-2.1807518,-1.0839356,-2.2432857,-0.7245864,-1.9089515144492282,-0.616738
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-2.301145,-1.1442367,-3.3083856,-2.2512558,-1.1442367,-2.301145,-0.7870487,-1.96786196442349,-0.6860603
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-2.2620199,-1.0651227,-3.1866205,-2.1712544,-1.0651227,-2.2620199,-0.713071,-1.9000109299684542,-0.60503256
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-2.2316184,-1.1071464,-3.282114,-2.2069595,-1.1071464,-2.2316184,-0.7435901,-1.9261258248087034,-0.63741356
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-2.2390409,-1.1381999,-3.3709013,-2.2493808,-1.1381999,-2.2390409,-0.77367514,-1.954571084616893,-0.6708013
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-2.136279,-0.9317734,-3.3525295,-2.140194,-0.9317734,-2.136279,-0.6034092,-1.8097697987660761,-0.48939177
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-1.7651243,-0.6964663,-2.1916883,-1.5510931,-0.6964663,-1.7651243,-0.2468772,-1.4301087042007852,-0.050379038
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-1.879509,-0.64039814,-2.5528262,-1.6909109,-0.64039814,-1.879509,-0.277588,-1.4942842839231383,-0.10840148
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-2.0357919,-0.77974427,-2.6160505,-1.8105288,-0.77974427,-2.0357919,-0.41220084,-1.6142853925553877,-0.26201713
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-2.080769,-0.8830699,-2.7281063,-1.897315,-0.8830699,-2.080769,-0.5046967,-1.6962750421860373,-0.36548632
