filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[mean_logit],fusion[max_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-1.4270203,-2.902303,-2.6369212,-2.3220816,-1.4270203,-2.6369212,-1.003754,-2.152108954530451,-0.91197157
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-1.7437207,-2.8328414,-4.8420086,-3.1395235,-1.7437207,-2.8328414,-1.4204503,-2.575248322895708,-1.3711265
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-2.0846372,-2.848779,-6.0446362,-3.6593506,-2.0846372,-2.848779,-1.6893594,-2.8266145520800445,-1.648757
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-2.400507,-2.7178354,-7.7048497,-4.2743974,-2.400507,-2.7178354,-1.8506175,-2.9763777606146364,-1.8127828
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-2.4747338,-2.6244645,-7.2682705,-4.1224895,-2.4747338,-2.6244645,-1.849211,-2.97340462886646,-1.8104751
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-2.0977755,-2.302337,-6.9564815,-3.7855313,-2.0977755,-2.302337,-1.4974208,-2.632676687411732,-1.4430501
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-1.9563513,-2.2709548,-6.6145205,-3.6139424,-1.9563513,-2.2709548,-1.4027178,-2.5426837261950537,-1.3437455
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-2.4223742,-2.5957234,-6.7381315,-3.9187431,-2.4223742,-2.5957234,-1.8049207,-2.9299376131979082,-1.7643043
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-1.8479047,-2.150592,-6.934453,-3.6443167,-1.8479047,-2.150592,-1.2911448,-2.43616869233725,-1.2255927
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-2.036439,-2.4383929,-6.640866,-3.7052326,-2.036439,-2.4383929,-1.5182292,-2.6551031174541926,-1.466243
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0010.jpg,-2.2462487,-2.6742103,-6.2091784,-3.709879,-2.2462487,-2.6742103,-1.7329199,-2.8620011271346066,-1.6904887
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0011.jpg,-2.2440681,-2.6721842,-6.214842,-3.7103646,-2.2440681,-2.6721842,-1.7308886,-2.8600481776123154,-1.6883821
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0012.jpg,-1.6335113,-2.4750574,-4.329444,-2.812671,-1.6335113,-2.4750574,-1.2290313,-2.3806575278262825,-1.1618568
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0013.jpg,-2.3392224,-2.7414908,-5.74283,-3.607848,-2.3392224,-2.7414908,-1.8073864,-2.9326370423556534,-1.7670656
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0014.jpg,-2.4785955,-2.7622592,-6.7088237,-3.983226,-2.4785955,-2.7622592,-1.9089904,-3.0321056820687025,-1.8726776
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0015.jpg,-2.4678767,-2.6563559,-6.349733,-3.8246548,-2.4678767,-2.6563559,-1.8533235,-2.976594504669791,-1.814328
/home/christian.moiola/ClipBased-SyntheticImageDetection/temp_frames/frame_0016.jpg,-2.1580448,-2.455363,-6.7781715,-3.7971933,-2.1580448,-2.455363,-1.5969107,-2.7294915485691824,-1.5479679
