filename,prediction_clipdet_latent10k,prediction_clipdet_latent10k_plus,prediction_Corvi2023,prediction_fusion[mean_logit],prediction_fusion[max_logit],prediction_fusion[median_logit],prediction_fusion[lse_logit],prediction_fusion[mean_prob],prediction_fusion[soft_or_prob]
Car_CogVideoX,0.40625,0.5,0.15625,0.34375,0.625,0.34375,0.96875,0.34375,1.0
TV_CogVideoX,1.0,1.0,0.84375,1.0,1.0,1.0,1.0,1.0,1.0
River_CogVideoX,0.625,1.0,0.09375,0.46875,1.0,0.625,1.0,0.5,1.0
Rocket_CogVideoX,0.03125,0.09375,0.375,0.125,0.46875,0.03125,0.9375,0.125,1.0
Chef_CogVideoX,0.65625,0.5625,0.0625,0.3125,0.75,0.53125,1.0,0.3125,1.0
Dancer_CogVideoX,0.9375,1.0,0.1875,1.0,1.0,0.96875,1.0,1.0,1.0
Bike_CogVideoX,0.625,0.75,0.25,0.65625,0.84375,0.59375,1.0,0.65625,1.0
Tractor_CogVideoX,0.40625,0.9375,0.0,0.09375,1.0,0.34375,1.0,0.09375,1.0
Airplane_CogVideoX,0.1875,0.84375,0.0,0.21875,0.875,0.15625,1.0,0.21875,1.0
Purse_CogVideoX,0.5,0.75,0.0625,0.5,0.90625,0.40625,1.0,0.5,1.0
Skier_CogVideoX,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,1.0
PolarBear_CogVideoX,0.03125,0.84375,0.0,0.0625,0.84375,0.03125,1.0,0.0625,1.0
Ball_CogVideoX,0.03125,0.25,0.0,0.0,0.28125,0.0,0.96875,0.0,1.0
Horse_CogVideoX,0.625,0.9375,0.5625,0.875,0.96875,0.78125,1.0,0.875,1.0
RoadFullOfCars_CogVideoX,0.0625,0.84375,0.0625,0.3125,0.84375,0.125,1.0,0.3125,1.0
Sofa_CogVideoX,0.0625,0.1875,0.0625,0.0,0.28125,0.03125,1.0,0.0,1.0
Farmer_CogVideoX,0.09375,0.78125,0.0,0.0,0.78125,0.09375,1.0,0.0,1.0
Mouse_CogVideoX,0.65625,0.96875,0.34375,0.53125,0.96875,0.78125,1.0,0.5625,1.0
Thunder_CogVideoX,0.34375,0.4375,0.0,0.09375,0.53125,0.25,1.0,0.09375,1.0
Butterfly_CogVideoX,0.71875,0.875,0.15625,0.5625,0.875,0.78125,1.0,0.59375,1.0
Crocodile_CogVideoX,0.5,0.90625,1.0,1.0,1.0,0.9375,1.0,1.0,1.0
Dolphin_CogVideoX,0.5625,0.84375,0.84375,0.78125,0.90625,0.8125,1.0,0.78125,1.0
Doctor_CogVideoX,0.0,0.46875,0.0625,0.0625,0.46875,0.0625,0.9375,0.0625,1.0
Shore_CogVideoX,0.0,0.0,0.0,0.0,0.0,0.0,0.90625,0.0,0.9375
Cow_CogVideoX,0.34375,0.9375,0.0625,0.1875,0.96875,0.375,1.0,0.1875,1.0
TaxiDriver_CogVideoX,0.0,0.03125,0.0625,0.0,0.0625,0.03125,0.90625,0.0,0.9375
Drone_CogVideoX,0.5625,1.0,0.1875,0.75,1.0,0.65625,1.0,0.75,1.0
Pilot_CogVideoX,0.0,0.28125,0.0,0.0,0.28125,0.0,0.96875,0.0,1.0
Soldier_CogVideoX,0.15625,0.875,0.0,0.0,0.875,0.15625,1.0,0.0,1.0
Tiger_CogVideoX,0.875,0.90625,1.0,1.0,1.0,0.9375,1.0,1.0,1.0
