filename,prediction_clipdet_latent10k,prediction_clipdet_latent10k_plus,prediction_Corvi2023,prediction_fusion[mean_logit],prediction_fusion[max_logit],prediction_fusion[median_logit],prediction_fusion[lse_logit],prediction_fusion[mean_prob],prediction_fusion[soft_or_prob]
Farmer_Luma,0.4876033057851239,1.0,0.0330578512396694,0.2479338842975206,1.0,0.4876033057851239,1.0,0.2644628099173554,1.0
Shore_Luma,0.6528925619834711,0.9669421487603306,0.0,0.5289256198347108,0.9834710743801652,0.6363636363636364,1.0,0.5206611570247934,1.0
Tiger_Luma,0.743801652892562,1.0,0.1157024793388429,0.9917355371900828,1.0,0.768595041322314,1.0,0.9834710743801652,1.0
Skier_Luma,0.1983471074380165,0.8016528925619835,0.0,0.0578512396694214,0.8016528925619835,0.1983471074380165,0.975206611570248,0.0909090909090909,1.0
Tractor_Luma,0.2975206611570248,0.9834710743801652,0.0,0.0661157024793388,0.9917355371900828,0.2892561983471074,1.0,0.0743801652892562,1.0
Crocodile_Luma,0.628099173553719,0.9917355371900828,0.3471074380165289,0.9586776859504132,1.0,0.7520661157024794,1.0,0.9586776859504132,1.0
Mouse_Luma,0.0909090909090909,1.0,0.0082644628099173,0.1983471074380165,1.0,0.0991735537190082,1.0,0.1570247933884297,1.0
Dolphin_Luma,0.1487603305785124,1.0,0.0165289256198347,0.2727272727272727,1.0,0.1570247933884297,1.0,0.2231404958677686,1.0
River_Luma,0.1983471074380165,1.0,0.0,0.1157024793388429,1.0,0.1983471074380165,1.0,0.1239669421487603,1.0
Bike_Luma,0.7851239669421488,1.0,0.1818181818181818,0.5785123966942148,1.0,0.7933884297520661,1.0,0.6115702479338843,1.0
PolarBear_Luma,0.1900826446280991,0.9834710743801652,0.0082644628099173,0.1239669421487603,0.9834710743801652,0.1900826446280991,1.0,0.1735537190082644,1.0
Airplane_Luma,0.4793388429752066,0.9834710743801652,0.0826446280991735,0.6115702479338843,0.9834710743801652,0.4793388429752066,1.0,0.6033057851239669,1.0
RoadFullOfCars_Luma ,0.0991735537190082,0.743801652892562,0.024793388429752,0.2066115702479339,0.7520661157024794,0.1074380165289256,0.9173553719008264,0.2066115702479339,0.9669421487603306
Ball_Luma,0.0,0.4297520661157025,0.0,0.0,0.4297520661157025,0.0,0.9338842975206612,0.0,0.9834710743801652
Rocket_Luma,0.024793388429752,0.9090909090909092,0.0082644628099173,0.0165289256198347,0.9173553719008264,0.0165289256198347,1.0,0.0165289256198347,1.0
TV_Luma,0.1157024793388429,0.975206611570248,0.0495867768595041,0.0578512396694214,0.9834710743801652,0.1322314049586777,1.0,0.0661157024793388,1.0
Sofa_Luma,0.1652892561983471,1.0,0.0826446280991735,0.0909090909090909,1.0,0.1983471074380165,1.0,0.1074380165289256,1.0
Butterfly_Luma,0.2396694214876033,1.0,0.024793388429752,0.3223140495867768,1.0,0.2396694214876033,1.0,0.2975206611570248,1.0
Cow_Luma,0.1322314049586777,0.9917355371900828,0.0165289256198347,0.0413223140495867,1.0,0.140495867768595,1.0,0.0413223140495867,1.0
Chef_Luma,0.0082644628099173,0.9421487603305784,0.0909090909090909,0.1074380165289256,0.9421487603305784,0.0991735537190082,1.0,0.1074380165289256,1.0
Pilot_Luma,0.0,0.4958677685950413,0.024793388429752,0.024793388429752,0.4958677685950413,0.024793388429752,0.8677685950413223,0.024793388429752,0.9173553719008264
Thunder_Luma,0.7272727272727273,0.9917355371900828,0.0,0.140495867768595,1.0,0.71900826446281,1.0,0.1983471074380165,1.0
Drone_Luma,0.3057851239669421,0.9917355371900828,0.0,0.0578512396694214,1.0,0.2975206611570248,1.0,0.0909090909090909,1.0
TaxiDriver_Luma,0.0,0.0826446280991735,0.0909090909090909,0.0082644628099173,0.1652892561983471,0.0082644628099173,0.8347107438016529,0.0082644628099173,0.9669421487603306
Doctor_Luma,0.256198347107438,0.9834710743801652,0.0165289256198347,0.1239669421487603,0.9834710743801652,0.2727272727272727,1.0,0.1652892561983471,1.0
Purse_Luma,0.743801652892562,0.9421487603305784,0.024793388429752,0.4049586776859504,0.950413223140496,0.7355371900826446,0.9834710743801652,0.5041322314049587,0.9917355371900828
Horse_Luma,0.2809917355371901,0.9917355371900828,0.0,0.2314049586776859,0.9917355371900828,0.2809917355371901,1.0,0.2644628099173554,1.0
Soldier_Luma,0.0082644628099173,0.6776859504132231,0.0082644628099173,0.0,0.6859504132231405,0.0082644628099173,0.950413223140496,0.0,0.9834710743801652
Dancer_Luma,0.3553719008264462,1.0,0.0,0.2148760330578512,1.0,0.3553719008264462,1.0,0.2644628099173554,1.0
Car_Luma,0.48760330578512395,0.9917355371900827,0.04132231404958678,0.5454545454545454,0.9917355371900827,0.48760330578512395,1.0,0.5454545454545454,1.0
