filename,prediction_clipdet_latent10k,prediction_clipdet_latent10k_plus,prediction_Corvi2023,prediction_fusion[mean_logit],prediction_fusion[max_logit],prediction_fusion[median_logit],prediction_fusion[lse_logit],prediction_fusion[mean_prob],prediction_fusion[soft_or_prob]
Airplane_Real,0.065040650406504,0.1463414634146341,0.1138211382113821,0.1219512195121951,0.2357723577235772,0.065040650406504,0.6178861788617886,0.1219512195121951,0.8617886178861789
Thunder_Real,0.0033333333333333,0.0,0.0766666666666666,0.0,0.08,0.0,0.1133333333333333,0.0,0.2233333333333333
Shore_Real,0.0733333333333333,0.6333333333333333,0.0,0.0,0.6733333333333333,0.0333333333333333,0.9866666666666668,0.0,1.0
PolarBear_Real,0.0930232558139534,0.5271317829457365,0.0,0.0310077519379844,0.5930232558139535,0.0271317829457364,0.9883720930232558,0.0310077519379844,1.0
Mouse_Real,0.032,0.04,0.0,0.0,0.072,0.0,0.488,0.0,0.72
Tractor_Real,0.04,0.208,0.032,0.056,0.224,0.048,0.288,0.056,0.32
River_Real,0.0434782608695652,0.1159420289855072,0.1159420289855072,0.1159420289855072,0.1159420289855072,0.1159420289855072,0.1739130434782608,0.1159420289855072,0.217391304347826
Car_Real,0.0303030303030303,0.2348484848484848,0.0,0.0378787878787878,0.2348484848484848,0.0303030303030303,0.6515151515151515,0.0378787878787878,0.803030303030303
Ball_Real,0.031055900621118,0.2360248447204969,0.0186335403726708,0.0248447204968944,0.2546583850931677,0.031055900621118,0.5279503105590062,0.0248447204968944,0.7018633540372671
Sofa_Real,0.8130081300813008,1.0,0.0,0.065040650406504,1.0,0.8130081300813008,1.0,0.1951219512195122,1.0
Skier_Real,0.008,0.008,0.0,0.0,0.008,0.008,0.144,0.0,0.2
Crocodile_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bike_Real,0.0,0.1212121212121212,0.0,0.0,0.1212121212121212,0.0,0.4545454545454545,0.0,0.6666666666666666
Chef_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiDriver_Real,0.0,0.0068027210884353,0.0,0.0,0.0068027210884353,0.0,0.0408163265306122,0.0,0.0680272108843537
Dolphin_Real,0.0,0.1157024793388429,0.0,0.0,0.1157024793388429,0.0,0.3140495867768595,0.0,0.4628099173553719
Doctor_Real,0.0066666666666666,0.8066666666666666,0.0,0.0133333333333333,0.8066666666666666,0.0066666666666666,1.0,0.0133333333333333,1.0
Cow_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.0,0.536
Dancer_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.6639344262295082,0.0,1.0
Purse_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.0659340659340659,0.0,0.2747252747252747
RoadFullOfCars_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farmer_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drone_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.408
Horse_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.0066666666666666,0.0,0.0333333333333333
Pilot_Real,0.0,0.2741935483870967,0.0,0.0,0.2741935483870967,0.0,0.3709677419354839,0.0,0.3790322580645161
TV_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.2177419354838709,0.0,0.5241935483870968
Butterfly_Real,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.184
Soldier_Real,0.0,0.3537414965986394,0.0,0.0,0.3537414965986394,0.0,0.9047619047619048,0.0,0.9931972789115646
Rocket_Real,0.0165289256198347,0.0909090909090909,0.0,0.0,0.0991735537190082,0.0082644628099173,0.6611570247933884,0.0,0.8181818181818182
Tiger_Real,0.1,0.6166666666666667,0.0,0.0,0.6166666666666667,0.1,0.95,0.0,0.9916666666666667
